<name>,<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
Asset Acceptance Capital,AACC,20130131,5.28,5.37,5.24,5.37,18200
AC Asia Information Tech MSCI Ishares,AAIT,20130131,28.17,28.17,27.56,27.62,7600
Atlantic American Corp.,AAME,20130131,3.32,3.35,3.31,3.35,1500
Aaon,AAON,20130131,22.55,22.81,22.51,22.74,90500
Apple Inc.,AAPL,20130131,456.98,459.28,454.98,455.49,11404700
Atlas Air Worldwide Holdings,AAWW,20130131,45.29,45.6,44.7,45.09,266400
All Country Asia Ex Jpn Idx MSCI Ishares,AAXJ,20130131,60.59,60.6,60.4,60.47,2069500
Abaxis,ABAX,20130131,38.37,40,38.29,38.72,110000
Ameris Bancorp,ABCB,20130131,13.13,13.35,13.01,13.26,91000
Cambium Learning Group,ABCD,20130131,1.28,1.39,1.28,1.32,8400
The Advisory Board Company,ABCO,20130131,54.02,54.64,53.8,54.24,188200
Arkansas Best Corp.,ABFS,20130131,10.48,10.93,10.32,10.52,621100
Arca Biopharma,ABIO,20130131,0.74,0.99,0.73,0.86,6498300
Abiomed,ABMD,20130131,13.39,14.08,13.01,13.95,720900
Autobytel Inc.,ABTL,20130131,4.05,4.05,4.04,4.04,300
Acadia Pharmaceuticals Inc.,ACAD,20130131,6.2,6.23,5.89,6.03,2376200
American Capital,ACAS,20130131,13,13.5,13,13.36,3703800
Arctic Cat Inc.,ACAT,20130131,35.69,36.42,35.69,36.14,132300
Accelrys,ACCL,20130131,9.22,9.54,9.22,9.42,303800
Aceto Corp.,ACET,20130131,10.3,10.46,10.26,10.44,56000
Atlantic Coast Federal Corp.,ACFC,20130131,3.5,3.5,3.47,3.47,1100
Acorn Energy,ACFN,20130131,7.56,7.56,7.35,7.36,131100
Arch Capital Group Ltd,ACGL,20130131,45.66,46.45,45.66,46.42,442900
Acadia Healthcare Company Inc.,ACHC,20130131,25.54,26.06,25.15,25.57,254100
Achillion Pharmaceuticals,ACHN,20130131,9.02,9.03,8.61,8.98,980900
Aci Worldwide,ACIW,20130131,47.08,47.73,47.02,47.54,227900
Axcelis Technologies,ACLS,20130131,1.37,1.38,1.29,1.35,450700
Acnb Corp.,ACNB,20130131,16.11,16.29,16.05,16.29,5000
Acorda Therapeutics,ACOR,20130131,28.85,29.12,28.38,28.88,276200
Active Power,ACPW,20130131,4.08,4.24,4.08,4.19,47800
Acelrx Pharmaceuticals,ACRX,20130131,5.15,5.4,5.1,5.37,104000
Acasti Pharma Inc,ACST,20130131,2.55,2.65,2.5,2.6,11700
Acacia Research Corp.,ACTG,20130131,24.79,25.63,24.79,25.53,336300
Actions Semiconductor Co.,ACTS,20130131,1.95,2,1.95,2,48900
Acura Pharmaceuticals,ACUR,20130131,1.91,1.91,1.81,1.87,166700
ACWI Index MSCI Ishares,ACWI,20130131,50.11,50.12,49.89,49.89,858000
ACWI Ex-US Index MSCI Ishares,ACWX,20130131,43.27,43.3,43.06,43.06,1032700
Acxiom Corp.,ACXM,20130131,17.6,18.54,16.43,17.73,1016500
Authentidate Holding,ADAT,20130131,0.66,0.67,0.64,0.67,21600
Adobe Systems Incorporated,ADBE,20130131,38,38.23,37.68,37.83,3291800
Adept Technology,ADEP,20130131,4.1,4.2,3.85,3.85,79800
Ada-Es,ADES,20130131,23.45,23.91,23.17,23.72,67000
Analog Devices,ADI,20130131,44.25,44.25,43.53,43.64,2649200
Audience Inc.,ADNC,20130131,11.82,12.38,11.53,12.22,264600
Automatic Data Processing,ADP,20130131,59.33,59.77,59.26,59.29,2600200
Asia 50 ADR Index Bldrs,ADRA,20130131,27.01,27.01,27.01,27.01,100
Dev Mkts 100 ADR Index Bldrs,ADRD,20130131,22.14,22.14,22.03,22.03,1500
Emrg Mkts 50 ADR Index Bldrs,ADRE,20130131,40.69,40.92,40.67,40.8,22800
Europe 100 ADR Index Bldrs,ADRU,20130131,22,22,22,22,100
Autodesk,ADSK,20130131,38.77,39.3,38.62,38.88,2723300
Adtran,ADTN,20130131,20.19,20.6,20.08,20.2,1010100
Addus Homecare Corp.,ADUS,20130131,8.31,8.35,8.01,8.28,78300
