<name>,<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
Asset Acceptance Capital,AACC,20130201,5.38,5.42,5.03,5.39,27900
AC Asia Information Tech MSCI Ishares,AAIT,20130201,27.52,27.8,27.5,27.8,1900
Atlantic American Corp.,AAME,20130201,3.35,3.37,3.31,3.35,6000
Aaon,AAON,20130201,23.07,23.13,22.8,23.11,49900
Apple Inc.,AAPL,20130201,459.12,459.48,448.35,453.62,19266700
Atlas Air Worldwide Holdings,AAWW,20130201,44.94,45.66,44.89,45.18,238200
All Country Asia Ex Jpn Idx MSCI Ishares,AAXJ,20130201,60.74,60.9,60.5,60.8,1138300
Abaxis,ABAX,20130201,41.5,44.98,41.35,44.29,872400
Ameris Bancorp,ABCB,20130201,13.33,13.47,13.33,13.4,61900
Cambium Learning Group,ABCD,20130201,1.3,1.38,1.3,1.35,5800
The Advisory Board Company,ABCO,20130201,54.56,54.95,54.26,54.72,174000
Arkansas Best Corp.,ABFS,20130201,10.56,10.57,10.21,10.23,381600
Arca Biopharma,ABIO,20130201,0.87,0.88,0.62,0.65,2562900
Abiomed,ABMD,20130201,13.97,14.13,13.6,13.97,771800
Autobytel Inc.,ABTL,20130201,4.05,4.07,4.01,4.05,3300
Acadia Pharmaceuticals Inc.,ACAD,20130201,6.1,6.15,5.86,6.02,1612000
American Capital,ACAS,20130201,13.46,13.59,13.3,13.3,2610800
Arctic Cat Inc.,ACAT,20130201,36.4,36.41,35.91,36.21,100400
Accelrys,ACCL,20130201,9.45,9.47,9.35,9.46,125300
Aceto Corp.,ACET,20130201,10.51,10.51,10.36,10.41,94000
Atlantic Coast Federal Corp.,ACFC,20130201,3.22,3.4,3.2,3.2,600
Acorn Energy,ACFN,20130201,7.42,7.71,7.27,7.62,53500
Arch Capital Group Ltd,ACGL,20130201,46.74,47.34,46.68,47.19,793800
Acadia Healthcare Company Inc.,ACHC,20130201,25.83,26.82,25.72,25.89,394100
Achillion Pharmaceuticals,ACHN,20130201,9.09,9.43,8.94,9.19,770100
Aci Worldwide,ACIW,20130201,47.9,48,47.6,47.9,291900
Axcelis Technologies,ACLS,20130201,1.36,1.39,1.33,1.38,276500
Acnb Corp.,ACNB,20130201,16.27,16.37,16.27,16.35,3100
Acorda Therapeutics,ACOR,20130201,29.25,29.43,28.79,29.01,462000
Active Power,ACPW,20130201,4.15,4.23,4.11,4.17,30300
Acelrx Pharmaceuticals,ACRX,20130201,5.35,5.7,5.22,5.32,175500
Acasti Pharma Inc,ACST,20130201,2.57,2.69,2.5,2.59,52100
Acacia Research Corp.,ACTG,20130201,25.6,26.75,25.21,26.42,541500
Actions Semiconductor Co.,ACTS,20130201,1.98,2.05,1.96,2.04,150600
Acura Pharmaceuticals,ACUR,20130201,1.88,1.95,1.87,1.92,110400
ACWI Index MSCI Ishares,ACWI,20130201,50.26,50.42,50.1,50.34,1962400
ACWI Ex-US Index MSCI Ishares,ACWX,20130201,43.3,43.54,43.24,43.49,256900
Acxiom Corp.,ACXM,20130201,17.87,18.42,17.8,18.3,555600
Authentidate Holding,ADAT,20130201,0.69,0.7,0.68,0.69,19300
Adobe Systems Incorporated,ADBE,20130201,38.2,38.48,37.91,38.34,2416000
Adept Technology,ADEP,20130201,3.8,3.95,3.72,3.75,43500
Ada-Es,ADES,20130201,23.85,24.96,22.56,24.5,119300
Analog Devices,ADI,20130201,44.06,44.74,44,44.67,2684500
Audience Inc.,ADNC,20130201,16.35,16.45,14.05,14.1,2020400
Automatic Data Processing,ADP,20130201,59.88,60.72,59.78,60.65,2512000
Asia 50 ADR Index Bldrs,ADRA,20130201,27.02,27.25,27,27.24,4800
Dev Mkts 100 ADR Index Bldrs,ADRD,20130201,22.18,22.38,22.18,22.28,5400
Emrg Mkts 50 ADR Index Bldrs,ADRE,20130201,41.1,41.3,41.05,41.19,28700
Europe 100 ADR Index Bldrs,ADRU,20130201,22.15,22.15,22.15,22.15,400
Autodesk,ADSK,20130201,39.14,39.39,38.88,38.94,2842900
Adtran,ADTN,20130201,20.35,20.4,20.17,20.22,633900
Addus Homecare Corp.,ADUS,20130201,8.04,8.34,8.04,8.06,73300
Advent Software,ADVS,20130201,24.75,24.81,24.41,24.72,209100
Aegoin Corp,AEGN,20130201,23.59,23.97,23.53,23.63,194700
Aegerion Pharmaceuticals,AEGR,20130201,28.47,28.55,27.12,27.83,515200
Aehr Test Systems,AEHR,20130201,0.93,0.95,0.89,0.92,7000
Advanced Energy Industries,AEIS,20130201,15.39,15.73,15.37,15.64,264400
Aep Industries Inc.,AEPI,20130201,64.38,65.5,62.12,65.11,80300
Asia Entertainment & Resources Ltd,AERL,20130201,4.7,4.79,4.5,4.66,156800
American Electric Technologies,AETI,20130201,5,5,4.99,5,4800
Addvantage Technologies Group,AEY,20130201,2.13,2.13,2.08,2.1,7400
Aeterna Zentaris,AEZS,20130201,2.95,2.95,2.8,2.89,922300
Almost Family Inc,AFAM,20130201,20.12,20.12,19.81,19.94,41500
Athens Bancshares Corp.,AFCB,20130201,17.72,17.73,17.72,17.73,200
Afc Enterprises,AFCE,20130201,29.07,29.32,29.07,29.18,61300
Affymetrix,AFFX,20130201,3.84,3.88,3.75,3.84,1180400
Affymax,AFFY,20130201,18.88,19.1,18.43,18.52,625000
Alliance Fiber Optic Products,AFOP,20130201,11.7,12.28,11.55,12.28,83900
Amtrust Financial Services,AFSI,20130201,33.44,33.99,32.92,33.84,232100
Agenus Inc.,AGEN,20130201,4.55,4.66,4.5,4.58,109400
Argo Group International Holdings Ltd,AGII,20130201,34.58,37,34.58,36.93,68300
Argo Group International Holdin,AGIIL,20130201,24.95,25.02,24.86,24.89,25800
American Capital Agency,AGNC,20130201,31.75,31.78,31.55,31.62,2682900
American Capital,AGNCP,20130201,25.99,26.09,25.96,25.96,10200
Agilysys,AGYS,20130201,8.7,8.85,8.27,8.84,246100
Alliance Holdings Gp L.P.,AHGP,20130201,50.5,50.99,50.07,50.5,25400
Allied Healthcare Products,AHPI,20130201,2.55,2.55,2.52,2.52,2200
Altra Holdings,AIMC,20130201,24.1,25.01,23.94,24.6,184100
Apollo Investment Corp.,AINV,20130201,9.03,9.06,8.95,8.99,1932900
Air Methods Corp.,AIRM,20130201,43.11,43.99,43.09,43.39,293800
Air T,AIRT,20130201,8.89,9.24,8.87,9,35200
Aixtron Se,AIXG,20130201,13.59,13.95,13.52,13.85,219400
Akamai Technologies,AKAM,20130201,40.92,41.99,40.89,41.81,2836600
Akorn,AKRX,20130201,13.18,13.18,12.63,12.8,1040200
Alico,ALCO,20130201,43,43.96,42.96,43.82,13800
Alco Stores Inc,ALCS,20130201,8.15,8.47,8.01,8.47,5400
Align Technology,ALGN,20130201,31.44,32.08,31.09,31.9,1561300
Allegiant Travel Company,ALGT,20130201,76.24,76.24,74.4,74.86,119900
Alimera Sciences,ALIM,20130201,1.92,3.01,1.92,2.35,256500
Alkermes,ALKS,20130201,21.42,22.07,21.01,21.76,5891200
Alliance Bank,ALLB,20130201,12.78,13.04,12.77,13.04,1500
Allot Communications Ltd,ALLT,20130201,13.97,14.02,13.67,13.85,471500
Alliance Financial Corp.,ALNC,20130201,44.88,45.31,44.87,45.07,5100
Alnylam Pharmaceuticals,ALNY,20130201,23.43,24.5,23.43,24.24,508500
Analogic Corp.,ALOG,20130201,76.69,77.86,76.35,76.98,110900
Astro-Med,ALOT,20130201,10.07,10.21,9.95,10.21,10700
American Learning Corp.,ALRN,20130201,0.5,0.5,0.5,0.5,0
Alaska Communications Systems,ALSK,20130201,1.75,1.8,1.73,1.78,416900
Alterra Capital Holdings Ltd,ALTE,20130201,30.47,30.7,30.38,30.53,700300
Altair Nanotechnologies Inc.,ALTI,20130201,2.22,2.22,2.18,2.19,5600
Altera Corp.,ALTR,20130201,33.61,35,33.55,34.49,5344800
Alvarion Ltd,ALVR,20130201,0.52,0.57,0.52,0.55,234900
Alexza Pharmaceuticals,ALXA,20130201,4.36,4.36,4.11,4.14,178700
Alexion Pharmaceuticals,ALXN,20130201,94.06,98.59,94.02,97.87,1890400
Amag Pharmaceuticals,AMAG,20130201,16.05,16.4,15.99,16.28,62100
Autonavi Holdings,AMAP,20130201,12.04,12.1,11.74,11.79,77200
Applied Materials,AMAT,20130201,12.93,13.19,12.87,13.17,17042400
Ambarella Inc.,AMBA,20130201,10.02,10.56,10.02,10.48,184600
Ambient Corp,AMBT,20130201,2.89,2.95,2.8,2.84,16100
Applied Micro Circuits Corp.,AMCC,20130201,8.25,8.57,8.25,8.54,1529100
Andatee China Marine Fuel Services,AMCF,20130201,0.66,0.69,0.65,0.69,16700
Airmedia Group Inc,AMCN,20130201,2.3,2.42,2.24,2.25,56500
