<name>,<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
Asset Acceptance Capital,AACC,20130218,5.61,5.61,5.61,5.61,0
AC Asia Information Tech MSCI Ishares,AAIT,20130218,27.7,27.7,27.7,27.7,0
Atlantic American Corp.,AAME,20130218,3.25,3.25,3.25,3.25,0
Aaon,AAON,20130218,23.8,23.8,23.8,23.8,0
Apple Inc.,AAPL,20130218,460.16,460.16,460.16,460.16,0
Atlas Air Worldwide Holdings,AAWW,20130218,46.94,46.94,46.94,46.94,0
All Country Asia Ex Jpn Idx MSCI Ishares,AAXJ,20130218,60.63,60.63,60.63,60.63,0
Abaxis,ABAX,20130218,43.16,43.16,43.16,43.16,0
Ameris Bancorp,ABCB,20130218,13.96,13.96,13.96,13.96,0
Cambium Learning Group,ABCD,20130218,1.34,1.34,1.34,1.34,0
The Advisory Board Company,ABCO,20130218,50.1,50.1,50.1,50.1,0
Arkansas Best Corp.,ABFS,20130218,11.66,11.66,11.66,11.66,0
Arca Biopharma,ABIO,20130218,0.51,0.51,0.51,0.51,0
Abiomed,ABMD,20130218,14.66,14.66,14.66,14.66,0
Autobytel Inc.,ABTL,20130218,4.13,4.13,4.13,4.13,0
Acadia Pharmaceuticals Inc.,ACAD,20130218,6.09,6.09,6.09,6.09,0
American Capital,ACAS,20130218,13.86,13.86,13.86,13.86,0
Arctic Cat Inc.,ACAT,20130218,35.57,35.57,35.57,35.57,0
Accelrys,ACCL,20130218,9.74,9.74,9.74,9.74,0
Aceto Corp.,ACET,20130218,10.36,10.36,10.36,10.36,0
Atlantic Coast Federal Corp.,ACFC,20130218,3.5,3.5,3.5,3.5,0
Acorn Energy,ACFN,20130218,7.51,7.51,7.51,7.51,0
Arch Capital Group Ltd,ACGL,20130218,47.56,47.56,47.56,47.56,0
Acadia Healthcare Company Inc.,ACHC,20130218,25.94,25.94,25.94,25.94,0
Achillion Pharmaceuticals,ACHN,20130218,9.78,9.78,9.78,9.78,0
Aci Worldwide,ACIW,20130218,47.27,47.27,47.27,47.27,0
Axcelis Technologies,ACLS,20130218,1.28,1.28,1.28,1.28,0
Acnb Corp.,ACNB,20130218,17,17,17,17,0
Acorda Therapeutics,ACOR,20130218,29.76,29.76,29.76,29.76,0
Active Power,ACPW,20130218,4.8,4.8,4.8,4.8,0
Acelrx Pharmaceuticals,ACRX,20130218,5.43,5.43,5.43,5.43,0
Acasti Pharma Inc,ACST,20130218,2.52,2.52,2.52,2.52,0
Acacia Research Corp.,ACTG,20130218,29.43,29.43,29.43,29.43,0
Actions Semiconductor Co.,ACTS,20130218,2.24,2.24,2.24,2.24,0
Acura Pharmaceuticals,ACUR,20130218,2.07,2.07,2.07,2.07,0
ACWI Index MSCI Ishares,ACWI,20130218,50.1,50.1,50.1,50.1,0
ACWI Ex-US Index MSCI Ishares,ACWX,20130218,42.86,42.86,42.86,42.86,0
Acxiom Corp.,ACXM,20130218,17.92,17.92,17.92,17.92,0
Authentidate Holding,ADAT,20130218,0.7,0.7,0.7,0.7,0
Adobe Systems Incorporated,ADBE,20130218,38.63,38.63,38.63,38.63,0
Adept Technology,ADEP,20130218,3.48,3.48,3.48,3.48,0
Ada-Es,ADES,20130218,25.05,25.05,25.05,25.05,0
Analog Devices,ADI,20130218,46.17,46.17,46.17,46.17,0
