<name>,<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
Asset Acceptance Capital,AACC,20130204,5.27,5.39,5.17,5.26,18300
AC Asia Information Tech MSCI Ishares,AAIT,20130204,27.56,27.79,27.31,27.31,9300
Atlantic American Corp.,AAME,20130204,3.35,3.37,3.33,3.35,5600
Aaon,AAON,20130204,23.18,23.18,22.75,23,71000
Apple Inc.,AAPL,20130204,453.91,455.94,442,442.32,17039800
Atlas Air Worldwide Holdings,AAWW,20130204,44.77,45.17,44.11,44.21,261700
All Country Asia Ex Jpn Idx MSCI Ishares,AAXJ,20130204,60.47,60.49,59.85,59.95,742100
Abaxis,ABAX,20130204,44.1,44.66,43.34,43.5,404000
Ameris Bancorp,ABCB,20130204,13.35,13.46,13.26,13.31,20600
Cambium Learning Group,ABCD,20130204,1.4,1.4,1.26,1.26,10700
The Advisory Board Company,ABCO,20130204,54.58,54.72,52.92,53.4,355100
Arkansas Best Corp.,ABFS,20130204,10.09,10.4,10,10.28,311800
Arca Biopharma,ABIO,20130204,0.61,0.69,0.59,0.6,694100
Abiomed,ABMD,20130204,13.86,14.03,13.76,13.93,600200
Autobytel Inc.,ABTL,20130204,4.08,4.24,4.04,4.2,4600
Acadia Pharmaceuticals Inc.,ACAD,20130204,6.01,6.26,5.91,6.13,2255200
American Capital,ACAS,20130204,13.22,13.27,13.1,13.11,2305700
Arctic Cat Inc.,ACAT,20130204,36.13,36.13,34.94,35.49,145100
Accelrys,ACCL,20130204,9.36,9.36,9.01,9.19,231500
Aceto Corp.,ACET,20130204,10.37,10.37,10.15,10.29,146200
Atlantic Coast Federal Corp.,ACFC,20130204,3.36,3.36,3,3,4700
Acorn Energy,ACFN,20130204,7.59,7.61,7.4,7.4,72900
Arch Capital Group Ltd,ACGL,20130204,46.82,47.05,46.23,46.27,521500
Acadia Healthcare Company Inc.,ACHC,20130204,26.05,26.28,25.3,25.52,222700
Achillion Pharmaceuticals,ACHN,20130204,9.15,9.32,9.07,9.25,550900
Aci Worldwide,ACIW,20130204,47.52,48.34,47.25,47.38,229400
Axcelis Technologies,ACLS,20130204,1.39,1.39,1.3,1.35,328600
Acnb Corp.,ACNB,20130204,16.44,16.5,16.3,16.49,5500
Acorda Therapeutics,ACOR,20130204,28.99,29.14,28.64,28.66,296500
Active Power,ACPW,20130204,4.17,4.29,4.15,4.25,77500
Acelrx Pharmaceuticals,ACRX,20130204,5.4,5.5,5.2,5.31,315000
Acasti Pharma Inc,ACST,20130204,2.6,2.66,2.6,2.65,5500
Acacia Research Corp.,ACTG,20130204,26.31,26.71,26,26.27,353300
Actions Semiconductor Co.,ACTS,20130204,2,2.06,2,2.06,43700
Acura Pharmaceuticals,ACUR,20130204,1.91,1.93,1.83,1.84,105700
ACWI Index MSCI Ishares,ACWI,20130204,50.03,50.03,49.6,49.63,1279700
ACWI Ex-US Index MSCI Ishares,ACWX,20130204,43.07,43.07,42.67,42.75,334600
Acxiom Corp.,ACXM,20130204,18.04,18.1,17.72,17.93,391100
Authentidate Holding,ADAT,20130204,0.7,0.71,0.65,0.7,9400
Adobe Systems Incorporated,ADBE,20130204,38.19,38.44,37.82,38.1,2927900
Adept Technology,ADEP,20130204,3.77,3.95,3.77,3.84,29500
Ada-Es,ADES,20130204,24.15,24.58,23.29,23.55,71200
Analog Devices,ADI,20130204,44.57,44.82,44.05,44.05,2324100
Audience Inc.,ADNC,20130204,14.15,14.48,13.68,14.23,231400
Automatic Data Processing,ADP,20130204,60.5,60.75,59.48,59.55,2815400
Asia 50 ADR Index Bldrs,ADRA,20130204,27.06,27.1,27.05,27.05,700
Dev Mkts 100 ADR Index Bldrs,ADRD,20130204,22,22.05,21.94,21.94,3300
Emrg Mkts 50 ADR Index Bldrs,ADRE,20130204,40.73,40.82,40.52,40.53,36500
Europe 100 ADR Index Bldrs,ADRU,20130204,21.81,21.81,21.61,21.61,2600
Autodesk,ADSK,20130204,38.71,39.17,38.4,38.53,1929100
Adtran,ADTN,20130204,20.23,20.43,19.52,19.84,1247800
Addus Homecare Corp.,ADUS,20130204,8.06,8.23,7.79,7.99,107400
Advent Software,ADVS,20130204,23.56,24.76,23.56,24.57,232400
Aegoin Corp,AEGN,20130204,23.45,23.6,23.01,23.16,183800
Aegerion Pharmaceuticals,AEGR,20130204,27.35,27.7,27.11,27.3,417000
Aehr Test Systems,AEHR,20130204,0.94,0.94,0.89,0.93,5400
Advanced Energy Industries,AEIS,20130204,15.49,15.6,14.69,15.15,242500
Aep Industries Inc.,AEPI,20130204,64.51,65.6,64.51,64.98,26500
Asia Entertainment & Resources Ltd,AERL,20130204,4.51,4.8,4.31,4.4,208400
American Electric Technologies,AETI,20130204,4.9,5,4.9,5,500
Addvantage Technologies Group,AEY,20130204,2.1,2.25,2.1,2.2,46300
Aeterna Zentaris,AEZS,20130204,2.91,2.92,2.69,2.75,893000
Almost Family Inc,AFAM,20130204,19.82,19.9,19.51,19.59,38600
Athens Bancshares Corp.,AFCB,20130204,17.73,17.73,17.73,17.73,0
Afc Enterprises,AFCE,20130204,29.06,29.34,28.9,29.29,151200
Affymetrix,AFFX,20130204,3.79,3.83,3.73,3.82,684600
Affymax,AFFY,20130204,18.45,19.29,18.42,18.94,766600
Alliance Fiber Optic Products,AFOP,20130204,12.05,12.35,11.81,11.82,42500
Amtrust Financial Services,AFSI,20130204,33.84,33.92,33.47,33.68,169100
Agenus Inc.,AGEN,20130204,4.54,4.58,4.43,4.48,72200
Argo Group International Holdings Ltd,AGII,20130204,36.77,36.87,36.42,36.72,46500
Argo Group International Holdin,AGIIL,20130204,25.02,25.12,24.91,24.93,18100
American Capital Agency,AGNC,20130204,31.6,31.75,31.5,31.59,2696100
American Capital,AGNCP,20130204,25.94,26.07,25.85,26.02,10600
Agilysys,AGYS,20130204,8.76,9,8.76,8.94,63100
Alliance Holdings Gp L.P.,AHGP,20130204,50.57,50.6,49.61,50.34,32100
Allied Healthcare Products,AHPI,20130204,2.55,2.55,2.55,2.55,100
Altra Holdings,AIMC,20130204,24.46,24.61,24.2,24.28,111100
