<name>,<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
Apollo Investment Corp.,AINV,20130204,8.97,9.01,8.9,8.93,1211900
Air Methods Corp.,AIRM,20130204,43.1,43.64,42.11,42.52,291100
Air T,AIRT,20130204,9.08,9.23,9.01,9.03,3300
Aixtron Se,AIXG,20130204,13.58,13.6,13.46,13.56,347100
Akamai Technologies,AKAM,20130204,41.57,41.87,41.09,41.36,3389300
Akorn,AKRX,20130204,12.7,13.05,12.58,12.64,810400
Alico,ALCO,20130204,43.52,44.23,41.82,42.82,22400
Alco Stores Inc,ALCS,20130204,8.47,8.47,8.15,8.18,2400
Align Technology,ALGN,20130204,31.5,32.51,31.16,32.12,2651800
Allegiant Travel Company,ALGT,20130204,74.35,74.96,72.73,74.38,182200
Alimera Sciences,ALIM,20130204,2.44,2.73,2.38,2.42,156600
Alkermes,ALKS,20130204,21.65,22.05,21.52,21.65,1639300
Alliance Bank,ALLB,20130204,13.05,13.05,12.89,13,2300
Allot Communications Ltd,ALLT,20130204,14.18,14.66,14.04,14.15,1591700
Alliance Financial Corp.,ALNC,20130204,44.62,44.63,44.17,44.38,5900
Alnylam Pharmaceuticals,ALNY,20130204,24.36,24.37,23.53,23.67,527400
Analogic Corp.,ALOG,20130204,76.56,76.64,75.18,75.51,45600
Astro-Med,ALOT,20130204,10.2,10.21,10.05,10.2,15200
American Learning Corp.,ALRN,20130204,0.47,0.47,0.47,0.47,5000
Alaska Communications Systems,ALSK,20130204,1.76,1.79,1.75,1.77,219000
Alterra Capital Holdings Ltd,ALTE,20130204,30.43,30.56,30.27,30.54,357600
Altair Nanotechnologies Inc.,ALTI,20130204,2.14,2.18,2.06,2.08,9200
Altera Corp.,ALTR,20130204,34.27,34.47,33.72,33.76,2855700
Alvarion Ltd,ALVR,20130204,0.51,0.53,0.51,0.51,313000
Alexza Pharmaceuticals,ALXA,20130204,4.08,4.2,4.06,4.08,226900
Alexion Pharmaceuticals,ALXN,20130204,96.1,96.86,94.41,95.22,1278500
Amag Pharmaceuticals,AMAG,20130204,16.15,16.27,15.93,16.07,89700
Autonavi Holdings,AMAP,20130204,11.77,11.91,11.52,11.63,87900
Applied Materials,AMAT,20130204,13.02,13.28,12.99,13,13451800
Ambarella Inc.,AMBA,20130204,10.52,10.52,10.1,10.24,75100
Ambient Corp,AMBT,20130204,2.88,2.92,2.79,2.79,15300
Applied Micro Circuits Corp.,AMCC,20130204,8.43,8.6,8.25,8.26,821800
Andatee China Marine Fuel Services,AMCF,20130204,0.66,0.74,0.65,0.73,114700
Airmedia Group Inc,AMCN,20130204,2.25,2.28,2.14,2.23,45800
Amc Networks Inc.,AMCX,20130204,58.31,58.6,57.5,57.83,378000
Amedisys Inc,AMED,20130204,11.34,11.49,11.14,11.14,285400
Amgen Inc.,AMGN,20130204,85.44,86.24,85.44,85.74,3907400
American Independence,AMIC,20130204,4.81,4.81,4.81,4.81,300
Amkor Technology,AMKR,20130204,4.8,4.85,4.64,4.65,530700
American National Bankshares,AMNB,20130204,20.62,20.82,20.17,20.17,12500
Allied Motion Technologies,AMOT,20130204,7.1,7.1,6.91,7.05,8500
America Movil S.A.B. De C.V.,AMOV,20130204,25.33,25.46,25.33,25.41,3600
Ampio Pharmaceutical,AMPE,20130204,3.94,4.1,3.74,3.86,657800
American River Bankshares,AMRB,20130204,7.34,7.35,7.13,7.26,19200
Albany Molecular Research,AMRI,20130204,6.03,6.06,5.91,5.98,48100
Amarin Corporation Plc,AMRN,20130204,8.36,8.72,8.26,8.52,3463300
Amyris,AMRS,20130204,3.2,3.21,3.05,3.12,275700
American Superconductor Corp.,AMSC,20130204,2.66,2.77,2.65,2.69,331800
Amerisafe,AMSF,20130204,28.37,28.72,28.23,28.32,49700
Amsurg,AMSG,20130204,31.06,31.17,30.38,30.48,127700
American Software,AMSWA,20130204,8.68,8.74,8.35,8.35,66200
American Woodmark Corp.,AMWD,20130204,28.32,29.83,28.04,29.73,312100
Amazon.Com,AMZN,20130204,262.78,264.68,259.07,259.98,3723700
Anacor Pharmaceuticals,ANAC,20130204,3.87,3.92,3.71,3.76,497600
Anadigics,ANAD,20130204,2.63,2.69,2.58,2.6,567100
American National Insurance,ANAT,20130204,78.04,78.9,77.76,78.48,13900
Anchor Bancorp,ANCB,20130204,14.85,14.85,14.8,14.8,300
American Caresource Holdings,ANCI,20130204,1.8,1.92,1.8,1.92,2600
Access National Corp.,ANCX,20130204,15.53,15.55,15.37,15.38,53400
Andina Acquisition Corporation,ANDAU,20130204,10,10,10,10,0
Andina Acquisition Corporation,ANDAW,20130204,0.23,0.23,0.23,0.23,0
The Andersons,ANDE,20130204,46.66,47.29,46.12,47.25,91900
Anaren,ANEN,20130204,19.83,19.99,19.55,19.64,24900
Angie's List Inc.,ANGI,20130204,12.58,12.61,12.39,12.54,284700
Angiodynamics,ANGO,20130204,12.28,12.34,12.08,12.15,71400
Anika Therapeutics Inc.,ANIK,20130204,10.72,10.73,10.53,10.63,55100
Analysts International Corp.,ANLY,20130204,3.5,3.53,3.5,3.5,1600
Annapolis Bancorp Inc.,ANNB,20130204,13.05,13.2,13.02,13.1,9300
Ansys,ANSS,20130204,73.98,74.78,73.62,73.99,137900
Anthera Pharmaceuticals,ANTH,20130204,0.67,0.7,0.66,0.69,5978800
Phazar Corp,ANTP,20130204,1.75,1.75,1.75,1.75,0
Alpha And Omega Semiconductor,AOSL,20130204,8.26,8.33,8.1,8.1,66600
Apco Oil And Gas International,APAGF,20130204,13.45,13.55,13.18,13.37,23500
American Public Education,APEI,20130204,37.98,38.23,37.83,38.17,90700
American Pacific Corp.,APFC,20130204,19.5,19.99,19.04,19.57,33000
Acme Packet,APKT,20130204,29.37,29.67,29.15,29.59,33751200
Apogee Enterprises,APOG,20130204,24.77,25.09,23.73,24.11,374000
Apollo Group,APOL,20130204,20,20.45,19.85,19.91,2097800
Aspenbio Pharma,APPY,20130204,2.31,2.58,2.29,2.56,362000
Apricus Biosciences Inc,APRI,20130204,2.98,3.17,2.91,3.13,419500
Alto Palermo S.A.,APSA,20130204,15.92,16,15.81,15.9,4300
Asia Pac Wire &Cable,APWC,20130204,4.08,4.12,3.98,4,5100
Aquasition Corp.,AQUUU,20130204,10.03,10.03,10.01,10.01,300
Accuray Incorporated,ARAY,20130204,4.95,5.01,4.95,4.98,510400
Ares Capital Corp.,ARCC,20130204,17.91,17.91,17.77,17.86,1699100
Appliance Recycling Centers,ARCI,20130204,1.54,1.55,1.48,1.48,9600
American Realty Capital Propert,ARCP,20130204,13.59,13.65,13.46,13.48,299000
Arc Wireless Solutions,ARCW,20130204,6.02,6.02,6.02,6.02,1600
Arden Group,ARDNA,20130204,92.19,92.19,92.19,92.19,200
Approach Resources Inc.,AREX,20130204,26.61,26.96,26.04,26.11,594600
Ariad Pharmaceuticals,ARIA,20130204,19.88,19.92,19.66,19.7,1707800
American Railcar Industries,ARII,20130204,41.4,41.5,39,39.2,259600
Ark Restaurants,ARKR,20130204,17.58,17.79,17.58,17.79,2500
Alliance Resource Partners L.P.,ARLP,20130204,64,64.03,63.6,63.92,113100
Arm Holdings Plc,ARMH,20130204,42.1,42.31,41.9,41.95,3964500
Arena Pharmaceuticals,ARNA,20130204,8.52,8.65,8.42,8.58,4102300
Arrow Financial Corp.,AROW,20130204,25,25,24.41,24.47,18200
Arqule,ARQL,20130204,2.54,2.59,2.52,2.52,180200
Arris Group Inc,ARRS,20130204,16.36,16.45,16,16.1,1373200
Array Biopharma Inc.,ARRY,20130204,3.75,3.92,3.74,3.88,937600
Arthrocare Corp.,ARTC,20130204,36.56,36.58,35.85,36.06,66700
Artesian Resources Corp.,ARTNA,20130204,22.4,22.5,22.18,22.2,9100
Art'S-Way Manufacturing Co.,ARTW,20130204,7.14,7.19,6.77,7.19,1700
Arotech Corp.,ARTX,20130204,1.1,1.11,1.06,1.09,22300
Aruba Networks,ARUN,20130204,23.4,23.81,23.37,23.48,2124000
Arrowhead Research Corp.,ARWR,20130204,1.96,1.99,1.92,1.94,12500
Asb Bancorp Inc.,ASBB,20130204,16,16.3,16,16.3,2000
Associated Banc-Corp,ASBC,20130204,14.25,14.37,14.18,14.21,1553900
Associated Banc-Corp,ASBCW,20130204,1.39,1.39,1.39,1.39,0
Ameriana Bancorp,ASBI,20130204,8.25,8.28,8.25,8.25,800
Ameristar Casinos,ASCA,20130204,26.37,26.61,26.37,26.48,1394200
Ascent Media Corp.,ASCMA,20130204,63.85,64.39,63.52,63.93,39200
American Science And Engineering,ASEI,20130204,69.69,69.88,68.38,68.66,13300
Asta Funding,ASFI,20130204,9.48,9.68,9.34,9.44,8900
Asiainfo-Linkage,ASIA,20130204,11.09,11.18,10.95,11.01,257900
Asm International N.V.,ASMI,20130204,40.09,40.34,39.92,39.92,4900
Asml Holding N.V.,ASML,20130204,76.96,77.66,76.22,76.43,1302200
Ascena Retail Group,ASNA,20130204,16.91,17.01,16.79,16.91,1751500
Altisource Portfolio Solutions S.A.,ASPS,20130204,88.42,89.15,87.04,87.84,74200
Ameriserv Financial Inc.,ASRV,20130204,2.99,3.02,2.96,3,8300
Ameriserv Financial Inc.,ASRVP,20130204,26.01,26.01,26.01,26.01,0
Astrotech Corp.,ASTC,20130204,0.87,0.89,0.86,0.87,8800
Astec Industries,ASTE,20130204,35.67,35.94,35.15,35.32,42100
Ascent Solar Technologies,ASTI,20130204,0.64,0.67,0.63,0.64,78500
Aastrom Biosciences,ASTM,20130204,1.37,1.41,1.35,1.36,413100
Astex Pharmaceuticals Inc,ASTX,20130204,3.49,3.49,3.34,3.37,421700
Asure Software Inc,ASUR,20130204,6.88,6.99,6.7,6.85,26500
Amtech Systems,ASYS,20130204,3.88,3.98,3.88,3.93,31300
Ata Inc.,ATAI,20130204,5.65,5.7,5.63,5.69,5100
America First Tax Exempt L.P.,ATAX,20130204,7.1,7.11,7.06,7.08,107900
Astea International,ATEA,20130204,2.73,2.73,2.73,2.73,100
Alphatec Holdings,ATEC,20130204,1.67,1.7,1.64,1.65,62500
Athenahealth,ATHN,20130204,86.66,87.69,85.72,86.23,516700
Athersys,ATHX,20130204,1.67,1.79,1.62,1.72,1754300
Atlanticus Holdings Corp.,ATLC,20130204,3.24,3.4,3.21,3.29,5400
Ames National Corp.,ATLO,20130204,21.9,21.95,21.41,21.41,15700
Atmi Inc.,ATMI,20130204,20.67,20.81,20,20.09,171500
Atmel Corp.,ATML,20130204,7.09,7.34,6.99,6.99,7741500
Atlantic Tele-Network,ATNI,20130204,42.86,43.12,42.31,42.63,70500
Api Technologies,ATNY,20130204,2.83,2.87,2.83,2.85,38900
Atossa Genetics Inc.,ATOS,20130204,5.1,5.3,5,5.1,6100
Atricure,ATRC,20130204,7.84,8.06,7.68,7.79,119100
Atrion Corp.,ATRI,20130204,198.53,198.53,195.45,195.6,1100
Aetrium Inc.,ATRM,20130204,0.62,0.69,0.62,0.69,33700
Astronics Corp.,ATRO,20130204,24,24.26,22.93,23.11,52400
Antares Pharma,ATRS,20130204,3.77,3.87,3.71,3.86,1038500
Air Transport Services Group Inc,ATSG,20130204,4.6,4.7,4.56,4.6,155800
Attunity Ltd,ATTU,20130204,7.64,7.68,7.5,7.56,29500
Activision Blizzard Inc,ATVI,20130204,11.6,11.69,11.47,11.6,7192900
Cross [A.T.] Company,ATX,20130204,11.2,11.44,11.02,11.05,17700
Auburn National Bancorporation,AUBN,20130204,21.11,21.32,21.11,21.32,700
Audiocodes Ltd,AUDC,20130204,4.02,4.22,3.94,4.03,404600
Auxilium Pharmaceuticals,AUXL,20130204,18.76,18.88,18.6,18.7,578000
Aerovironment,AVAV,20130204,21.67,21.68,21.14,21.24,353000
Advocat,AVCA,20130204,5.15,5.15,5.04,5.15,1900
Aveo Pharmaceuticals,AVEO,20130204,7.89,7.95,7.68,7.74,452900
Avago Technologies,AVGO,20130204,35.75,36.21,35.14,35.18,4340000
Av Homes Inc,AVHI,20130204,14.83,14.83,14.24,14.37,38200
Avid Technology,AVID,20130204,7.67,7.84,7.4,7.42,111400
Avanir Pharmaceuticals Inc,AVNR,20130204,2.89,3.09,2.87,3.07,1668500
Aviat Networks,AVNW,20130204,3.68,3.82,3.64,3.66,618300
Homeaway Inc.,AWAY,20130204,23.85,24.03,23.64,23.7,275100
Aware,AWRE,20130204,5.85,6,5.5,5.63,45500
Abraxas Petroleum Corp.,AXAS,20130204,2.2,2.23,2.12,2.14,478300
Accelerate Diagnostics Inc.,AXDX,20130204,4.38,4.46,4.35,4.46,9300
ACWI Ex-US Financials MSCI Ishares,AXFN,20130204,24.99,24.99,24.6,24.6,2100
AC Asia Ex Japan Smallcap MSCI Ishares,AXJS,20130204,57.04,57.04,57.04,57.04,0
Axt Inc,AXTI,20130204,2.87,2.89,2.76,2.78,116700
Aspen Technology,AZPN,20130204,30.2,30.42,29.84,30.05,777500
Natus Medical Inc.,BABY,20130204,12.45,12.58,12.18,12.2,114900
Einstein Noah Restaurant Group,BAGL,20130204,13.04,13.04,12.61,12.7,59300
Books-A-Million,BAMM,20130204,2.47,2.48,2.35,2.43,29200
First Pactrust Bancorp,BANC,20130204,11.58,11.69,11.43,11.44,9500
First Pactrust Bancorp Inc.,BANCL,20130204,25.6,25.63,25.21,25.38,44100
Bancfirst Corp.,BANF,20130204,40.51,41.16,40.5,40.77,19300
Bancfirst Corp.,BANFP,20130204,26.3,26.3,26.3,26.3,0
Banner Corp.,BANR,20130204,30.41,30.56,30.24,30.48,100700
Bioanalytical Systems,BASI,20130204,1.7,1.71,1.61,1.71,6500
Bed Bath & Beyond Inc.,BBBY,20130204,58.63,58.95,58.21,58.35,3986300
Bbcn Bancorp Inc,BBCN,20130204,12.2,12.4,12.11,12.28,360300
Breitburn Energy Partners L.P.,BBEP,20130204,21.25,21.36,21.11,21.29,575400
Beasley Broadcast Group,BBGI,20130204,4.91,5.04,4.9,4.9,3500
Bridge Capital Holdings,BBNK,20130204,16,16,15.76,15.79,9700
Black Box Corp.,BBOX,20130204,24.1,24.3,23.63,23.99,59700
Bravo Brio Restaurant Group,BBRG,20130204,14.97,15.06,14.8,14.94,280900
Blackberry,BBRY,20130204,13.71,15.01,13.52,14.98,82670800
Barrett Business Services,BBSI,20130204,39.73,40.23,39.34,39.81,23300
Bcb Bancorp Inc. [Nj],BCBP,20130204,9.84,9.87,9.74,9.78,5000
Bcd Semiconductor Manufacturing Ltd,BCDS,20130204,7.8,7.89,7.8,7.87,76200
B Communications Ltd,BCOM,20130204,4.01,4.01,3.87,3.87,1400
Berjaya Philippines Inc,BCOR,20130204,14.68,14.92,14.53,14.75,534500
Brightcove Inc.,BCOV,20130204,6.15,6.15,5.95,5.98,1536600
Balchem Corp.,BCPC,20130204,38,38,37.14,37.29,48300
Biocryst Pharmaceuticals,BCRX,20130204,1.65,1.65,1.58,1.59,205500
Bcsb Bancorp,BCSB,20130204,14.57,15.07,14.57,15.05,600
Boulder Brands Inc,BDBD,20130204,13.68,13.68,13.43,13.47,301600
Black Diamond,BDE,20130204,8,8.08,7.71,7.93,110900
Bridge Bancorp,BDGE,20130204,20.4,20.46,20.02,20.08,20700
Birner Dental Management Services,BDMS,20130204,17.62,17.62,17.62,17.62,0
Biodelivery Sciences International,BDSI,20130204,4.61,4.63,4.39,4.41,98800
Cardionet,BEAT,20130204,2.29,2.41,2.29,2.37,45900
Be Aerospace,BEAV,20130204,52.24,52.61,51.78,52.17,750800
Bebe Stores,BEBE,20130204,3.91,3.98,3.88,3.96,1152900
Beacon Roofing Supply,BECN,20130204,36.61,36.73,35.64,35.99,419400
Bel Fuse Inc.,BELFA,20130204,16.32,16.32,16.32,16.32,200
Bel Fuse Inc.,BELFB,20130204,18.58,18.9,18.44,18.67,23800
Berkshire Bancorp,BERK,20130204,8.14,8.33,8.14,8.19,9500
Bankfinancial Corp.,BFIN,20130204,7.56,7.56,7.22,7.25,21300
Bluefly,BFLY,20130204,0.72,0.72,0.7,0.7,8900
Bgc Partners,BGCP,20130204,4.01,4.23,3.95,4.14,2159500
Big 5 Sporting Goods Corp.,BGFV,20130204,14.08,14.2,13.56,13.61,149000
Bg Medicine,BGMD,20130204,2.22,2.32,2.11,2.14,637800
Bgs Acquisition Corp.,BGSC,20130204,9.93,9.93,9.93,9.93,0
Bgs Acquisition Corp.,BGSCU,20130204,9.98,9.98,9.98,9.98,0
Bgs Acquisition Corp.,BGSCW,20130204,0.17,0.17,0.17,0.17,0
Ultra Nasdaq Biotechnology Proshares,BIB,20130204,66.61,66.85,64.8,65.19,11600
BICK Index First Trust,BICK,20130204,25.61,25.61,25.42,25.44,9100
Baidu,BIDU,20130204,108.53,108.7,106.58,107.2,6121600
Biogen Idec Inc,BIIB,20130204,156.15,157.27,155.1,155.73,1205600
Bioclinica Inc,BIOC,20130204,7.24,7.24,7.22,7.22,36600
Biodel Inc.,BIOD,20130204,2.79,2.83,2.76,2.78,31500
Biofuel Energy,BIOF,20130204,4.7,5.08,4.45,4.48,484600
Biolase Technology,BIOL,20130204,2.52,2.64,2.52,2.58,33500
Bioscrip,BIOS,20130204,11.2,11.23,11.11,11.17,285100
Actuate Corp.,BIRT,20130204,5.67,5.77,5.58,5.63,372000
Ultrashort Nasdaq Biotech Proshares,BIS,20130204,57.22,58.12,57.22,58.12,1000
Bj's Restaurants,BJRI,20130204,32.03,32.31,31.91,32.04,365400
Blackrock Kelso Capital Corp.,BKCC,20130204,10.64,10.69,10.48,10.49,906600
Blueknight Energy,BKEP,20130204,8.49,8.49,7.62,7.72,20100
Blueknight Energy Partners L.P.,BKEPP,20130204,8.65,8.78,8.63,8.68,3700
Bank Mutual Corp.,BKMU,20130204,5.32,5.32,5.13,5.14,124400
Oak Ridge Financial Services,BKOR,20130204,4.43,4.43,4.43,4.43,200
Bank Of South Carolina,BKSC,20130204,12.18,12.18,12.18,12.18,100
The Bank Of Kentucky Financial,BKYF,20130204,26.16,26.25,26.02,26.13,5700
Ballard Power Systems,BLDP,20130204,0.66,0.69,0.64,0.69,61200
Builders Firstsource,BLDR,20130204,6.21,6.25,5.99,6.03,246700
Bridgeline Digital,BLIN,20130204,1.81,1.84,1.65,1.68,36000
Blackbaud,BLKB,20130204,25.31,25.47,24.99,25.07,145900
Bloomin' Brands Inc.,BLMN,20130204,18.53,18.78,18.33,18.6,655000
Bsb Bancorp Inc.,BLMT,20130204,12.87,12.9,12.81,12.88,9000
Biolinerx Ltd.,BLRX,20130204,4.38,4.5,3.86,3.97,780200
Bmc Software,BMC,20130204,41.85,42.21,41.55,41.56,1851700
Bank Of Marin Bancorp,BMRC,20130204,39.1,39.1,38.8,38.86,3300
Biomarin Pharmaceutical Inc.,BMRN,20130204,55.56,56.16,55.51,55.6,868400
Bryn Mawr Bank Corp.,BMTC,20130204,23.08,23.38,22.92,23,32500
Biomimetic Therapeutics,BMTI,20130204,8.48,8.7,8.32,8.56,136900
Beneficial Mutual Bancorp,BNCL,20130204,9.35,9.36,9.32,9.32,72200
Bnc Bancorp,BNCN,20130204,8.46,8.49,8.35,8.45,20800
Bonso Electronics International,BNSO,20130204,1.41,1.46,1.41,1.46,4600
Bob Evans Farms,BOBE,20130204,43.2,43.56,42.45,42.59,244700
Bank Of Commerce Holdings [Ca],BOCH,20130204,4.95,4.95,4.9,4.9,95100
Body Central,BODY,20130204,7.91,8,7.82,7.93,232900
Bofi Holding,BOFI,20130204,32.76,33.37,32.62,32.99,154900
Bok Financial Corp.,BOKF,20130204,56.43,56.43,55.82,56.1,75300
Bolt Technology Corp.,BOLT,20130204,15.31,15.38,15.2,15.2,12300
Bona Film Group Limited,BONA,20130204,4.95,5.01,4.95,5.01,51700
The Bon-Ton Stores,BONT,20130204,13.06,13.44,12.49,12.53,97700
Dynamic Materials Corp.,BOOM,20130204,16.82,16.85,16.56,16.63,87100
B.O.S. Better Online Solutions,BOSC,20130204,4.1,4.56,4.1,4.44,25400
Biota Pharmaceuticals Inc.,BOTA,20130204,3.92,3.96,3.92,3.95,10500
Bank Of The Jame Fnl,BOTJ,20130204,8,8,7.9,7.9,1800
Bank Of Virginia,BOVA,20130204,4.03,4.05,3.9,3.95,2500
Biosante Pharmaceuticals,BPAX,20130204,1.42,1.42,1.35,1.36,435500
Boston Private Financial Holdings,BPFH,20130204,9.4,9.4,9.21,9.24,262400
Boston Private Financial Holdings,BPFHW,20130204,3.41,3.41,3.41,3.41,1000
Bluephoenix Solutions,BPHX,20130204,4.2,4.25,4,4,6100
Popular,BPOP,20130204,26.87,27.21,26.86,27.03,1286200
Popular,BPOPM,20130204,23.67,23.67,21.6,22.85,3600
Popular,BPOPN,20130204,23.8,23.85,23.8,23.85,3000
Brocade Communications Systems,BRCD,20130204,5.6,5.71,5.57,5.62,10970000
Broadcom Corp.,BRCM,20130204,32.71,33.2,32.41,32.45,8186500
Craft Brewers Alliance Inc,BREW,20130204,6.78,6.94,6.59,6.63,18900
Bridgford Foods Corp.,BRID,20130204,6.5,6.5,6.5,6.5,0
Brookline Bancorp,BRKL,20130204,8.91,8.96,8.8,8.83,277300
Bruker Corp.,BRKR,20130204,16.6,16.71,15.8,16.47,2077100
Brooks Automation,BRKS,20130204,9.53,9.64,9.25,9.26,447200
Bio-Reference Laboratories,BRLI,20130204,26.85,27.5,26.51,26.57,343900
Bsd Medical Corp.,BSDM,20130204,1.52,1.52,1.48,1.48,55300
Bassett Furniture Industries Inc.,BSET,20130204,13.78,14.35,13.78,13.82,38400
Broadsoft,BSFT,20130204,36.77,38.99,36.19,38.56,1223100
Biostar Pharmaceuticals,BSPM,20130204,1.07,1.12,1.06,1.06,13400
Bsquare Corp.,BSQR,20130204,3.37,3.41,3.33,3.35,1900
