<name>,<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
Asset Acceptance Capital,AACC,20130225,5.3,5.3,5.11,5.15,22000
AC Asia Information Tech MSCI Ishares,AAIT,20130225,28.59,28.59,27.97,27.97,6600
Atlantic American Corp.,AAME,20130225,3.25,3.25,3.22,3.23,23000
Aaon,AAON,20130225,24.31,24.47,23.86,23.88,129900
Apple Inc.,AAPL,20130225,453.85,455.12,442.57,442.8,13306300
Atlas Air Worldwide Holdings,AAWW,20130225,47.98,48.54,47.17,47.18,355300
All Country Asia Ex Jpn Idx MSCI Ishares,AAXJ,20130225,60.4,60.45,59.11,59.16,556500
Abaxis,ABAX,20130225,41.61,43.74,41.43,41.62,362900
Ameris Bancorp,ABCB,20130225,14.06,14.11,13.54,13.7,48400
Cambium Learning Group,ABCD,20130225,1.24,1.3,1.22,1.3,4200
The Advisory Board Company,ABCO,20130225,50.6,50.7,49.43,49.48,169600
Arkansas Best Corp.,ABFS,20130225,11.57,11.71,10.99,11.08,265500
Arca Biopharma,ABIO,20130225,0.55,0.58,0.53,0.53,292400
Abiomed,ABMD,20130225,14.73,15.27,14.7,15.06,787700
Autobytel Inc.,ABTL,20130225,4.3,4.35,4.09,4.22,8300
Acadia Pharmaceuticals Inc.,ACAD,20130225,6.13,6.13,5.82,5.87,1105000
American Capital,ACAS,20130225,14,14.01,13.65,13.65,4502800
Arctic Cat Inc.,ACAT,20130225,36.6,36.65,35,35.05,280700
Accelrys,ACCL,20130225,9.87,9.97,9.62,9.62,131700
Aceto Corp.,ACET,20130225,10.5,10.57,10.2,10.22,101400
Atlantic Coast Federal Corp.,ACFC,20130225,3.32,3.55,3.3,3.54,4300
Acorn Energy,ACFN,20130225,7.07,7.08,6.83,6.84,57800
Arch Capital Group Ltd,ACGL,20130225,48.4,48.58,48.17,48.19,586500
Acadia Healthcare Company Inc.,ACHC,20130225,26.85,27.08,26.07,26.24,665100
Achillion Pharmaceuticals,ACHN,20130225,8.9,8.95,8.35,8.37,1124700
Aci Worldwide,ACIW,20130225,47.65,47.65,45.85,46.02,212600
Axcelis Technologies,ACLS,20130225,1.25,1.27,1.18,1.18,278000
Acnb Corp.,ACNB,20130225,16.7,16.73,16.67,16.7,2500
Acorda Therapeutics,ACOR,20130225,30.25,30.42,29.32,29.36,345400
Active Power,ACPW,20130225,4.87,4.95,4.8,4.91,56800
Acelrx Pharmaceuticals,ACRX,20130225,5.39,5.4,5.21,5.23,95800
Acasti Pharma Inc,ACST,20130225,2.3,2.34,2.26,2.26,29800
Acacia Research Corp.,ACTG,20130225,29.49,30.97,29.45,29.96,1552400
Actions Semiconductor Co.,ACTS,20130225,2.11,2.14,2.08,2.1,42100
Acura Pharmaceuticals,ACUR,20130225,2.09,2.09,1.87,1.97,128300
ACWI Index MSCI Ishares,ACWI,20130225,50.24,50.31,49.01,49.03,1300100
ACWI Ex-US Index MSCI Ishares,ACWX,20130225,43.02,43.03,41.79,41.81,253800
Acxiom Corp.,ACXM,20130225,18.25,18.26,17.97,17.98,375600
Authentidate Holding,ADAT,20130225,0.74,0.74,0.6,0.61,150600
Adobe Systems Incorporated,ADBE,20130225,38.66,39.08,38.1,38.11,2738600
Adept Technology,ADEP,20130225,3.15,3.16,3.06,3.12,81600
Ada-Es,ADES,20130225,25.63,25.74,25.21,25.61,84000
Analog Devices,ADI,20130225,46.11,46.27,44.75,44.77,2626600
Audience Inc.,ADNC,20130225,13.28,13.64,13.28,13.41,182900
Automatic Data Processing,ADP,20130225,61.48,61.74,60.76,60.77,2578100
Asia 50 ADR Index Bldrs,ADRA,20130225,27.15,27.18,27.05,27.12,4200
Dev Mkts 100 ADR Index Bldrs,ADRD,20130225,21.67,21.71,21.19,21.19,4300
Emrg Mkts 50 ADR Index Bldrs,ADRE,20130225,39.56,39.75,38.91,38.91,35500
Europe 100 ADR Index Bldrs,ADRU,20130225,21.17,21.17,20.68,20.68,2000
Autodesk,ADSK,20130225,38.23,38.25,36.52,36.62,7232600
Adtran,ADTN,20130225,23.49,23.53,22.98,22.99,909200
Addus Homecare Corp.,ADUS,20130225,9.42,9.48,8.23,8.26,91700
Advent Software,ADVS,20130225,26.58,26.65,26.04,26.04,202900
Aegoin Corp,AEGN,20130225,23.67,23.93,22.97,23.02,196000
Aegerion Pharmaceuticals,AEGR,20130225,29.5,29.54,28.36,28.36,418200
Aehr Test Systems,AEHR,20130225,0.88,0.88,0.88,0.88,100
Advanced Energy Industries,AEIS,20130225,18.15,18.16,17.22,17.26,411000
Aep Industries Inc.,AEPI,20130225,66.09,66.93,65.99,66.33,23400
Asia Entertainment & Resources Ltd,AERL,20130225,3.61,3.97,3.6,3.93,292900
American Electric Technologies,AETI,20130225,4.94,4.96,4.84,4.95,6600
Addvantage Technologies Group,AEY,20130225,2.21,2.27,2.21,2.21,10000
Aeterna Zentaris,AEZS,20130225,2.58,2.6,2.5,2.51,182100
Almost Family Inc,AFAM,20130225,20.86,20.95,20.32,20.5,59400
Athens Bancshares Corp.,AFCB,20130225,18.35,18.35,18,18,5100
Afc Enterprises,AFCE,20130225,31.05,31.52,30.87,30.91,184800
