<name>,<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
Affymetrix,AFFX,20130225,3.87,3.9,3.83,3.84,519300
Affymax,AFFY,20130225,2.49,2.75,2.34,2.42,61434800
Atlas Financial Holdings Inc.,AFH,20130225,5.9,5.94,5.85,5.85,4600
Alliance Fiber Optic Products,AFOP,20130225,11.42,11.44,11.03,11.03,10300
Amtrust Financial Services,AFSI,20130225,33.63,33.7,32.65,32.66,146200
Agenus Inc.,AGEN,20130225,4.37,4.37,4.11,4.11,93600
Argo Group International Holdings Ltd,AGII,20130225,38.32,38.55,37.29,37.4,89500
Argo Group International Holdin,AGIIL,20130225,25.31,25.4,25.27,25.39,33400
American Capital Agency,AGNC,20130225,32.22,32.49,32.18,32.18,3768200
American Capital,AGNCP,20130225,26.15,26.29,26.07,26.16,35800
Agilysys,AGYS,20130225,9.69,9.7,9.49,9.49,30500
Alliance Holdings Gp L.P.,AHGP,20130225,52.38,52.44,51.45,51.99,60000
Altra Holdings,AIMC,20130225,25.27,25.27,24.87,24.99,130700
Apollo Investment Corp.,AINV,20130225,8.48,8.55,8.3,8.31,1649300
Alliance Healthcare Services,AIQ,20130225,6.98,7.05,6.89,6.9,3800
Air Methods Corp.,AIRM,20130225,43.85,44.3,43.33,43.33,217600
Air T,AIRT,20130225,9.29,9.6,9.29,9.55,4600
Aixtron Se,AIXG,20130225,12.23,12.28,11.55,11.57,206200
Akamai Technologies,AKAM,20130225,37.18,37.3,36.31,36.31,4466700
Akorn,AKRX,20130225,12.8,12.88,12.5,12.56,852900
Alico,ALCO,20130225,44.4,44.4,41.21,41.25,32400
Alco Stores Inc,ALCS,20130225,8.03,8.03,7.8,7.9,6700
Align Technology,ALGN,20130225,31.98,32.33,31.13,31.2,468300
Allegiant Travel Company,ALGT,20130225,80.8,81.16,78.95,79.18,86000
Alimera Sciences,ALIM,20130225,2.99,3.26,2.94,3.02,54200
Alkermes,ALKS,20130225,20.77,20.87,20.35,20.36,992300
Alliance Bank,ALLB,20130225,12.88,12.89,12.85,12.89,1300
Allot Communications Ltd,ALLT,20130225,14.63,14.68,14.35,14.58,380800
Alliance Financial Corp.,ALNC,20130225,45.48,45.48,44.08,44.12,5400
Alnylam Pharmaceuticals,ALNY,20130225,23.61,23.65,22.76,23.01,844300
Analogic Corp.,ALOG,20130225,74.18,74.34,72.4,72.51,71600
Astro-Med,ALOT,20130225,10.03,10.2,10.03,10.1,4300
American Learning Corp.,ALRN,20130225,0.38,0.38,0.38,0.38,200
Alaska Communications Systems,ALSK,20130225,1.76,1.76,1.71,1.71,192800
Alterra Capital Holdings Ltd,ALTE,20130225,31.05,31.12,30.82,30.84,320000
Altair Nanotechnologies Inc.,ALTI,20130225,2.07,2.1,2.07,2.08,6200
Altera Corp.,ALTR,20130225,35.62,35.85,35,35.01,4812400
Alvarion Ltd,ALVR,20130225,0.5,0.51,0.47,0.47,152900
Alexza Pharmaceuticals,ALXA,20130225,4.54,4.59,4.3,4.41,152500
Alexion Pharmaceuticals,ALXN,20130225,87.07,87.89,86.18,86.29,1949900
Amag Pharmaceuticals,AMAG,20130225,16.39,16.59,16.11,16.32,48000
Autonavi Holdings,AMAP,20130225,11.2,11.24,10.91,10.92,102000
Applied Materials,AMAT,20130225,13.67,13.8,13.22,13.23,15610000
Ambarella Inc.,AMBA,20130225,9.59,9.96,9.59,9.59,67100
Ambient Corp,AMBT,20130225,2.62,2.85,2.6,2.75,47100
Applied Micro Circuits Corp.,AMCC,20130225,8.49,8.51,8.33,8.33,638000
Andatee China Marine Fuel Services,AMCF,20130225,0.75,0.82,0.75,0.82,23700
Airmedia Group Inc,AMCN,20130225,2.18,2.18,2,2.08,75500
Amc Networks Inc.,AMCX,20130225,59.06,59.58,57.99,58.07,997700
Amedisys Inc,AMED,20130225,11.44,11.53,10.77,10.95,470900
Amgen Inc.,AMGN,20130225,89.46,91.25,89.3,89.55,11422500
American Independence,AMIC,20130225,5.08,5.28,5.07,5.08,3600
Amkor Technology,AMKR,20130225,4.42,4.42,4.15,4.17,2025000
American National Bankshares,AMNB,20130225,20.86,20.9,20.25,20.28,9900
Allied Motion Technologies,AMOT,20130225,7,7.05,7,7,8800
America Movil S.A.B. De C.V.,AMOV,20130225,22.09,22.09,21.43,21.43,9800
Ampio Pharmaceutical,AMPE,20130225,3.82,3.85,3.61,3.65,256500
American River Bankshares,AMRB,20130225,7.3,7.42,7.27,7.42,6200
Albany Molecular Research,AMRI,20130225,8.09,8.22,7.75,7.85,378600
Amarin Corporation Plc,AMRN,20130225,8.32,8.44,8.01,8.04,2902600
Amyris,AMRS,20130225,3.19,3.19,2.86,2.9,513000
American Superconductor Corp.,AMSC,20130225,3.24,3.24,2.95,2.95,383200
Amerisafe,AMSF,20130225,29.47,29.54,28.63,28.7,30700
Amsurg,AMSG,20130225,31.99,32.01,31.15,31.26,123700
American Software,AMSWA,20130225,8.7,8.7,8.4,8.4,32500
American Woodmark Corp.,AMWD,20130225,31.81,32.12,30.5,31.52,240900
Amazon.Com,AMZN,20130225,266.94,268.69,259.65,259.87,3032700
Anacor Pharmaceuticals,ANAC,20130225,3.28,3.29,3.18,3.18,80200
Anadigics,ANAD,20130225,2.29,2.36,2.18,2.18,703500
American National Insurance,ANAT,20130225,83.05,83.98,81.19,81.82,35400
Anchor Bancorp,ANCB,20130225,14.15,14.15,14.15,14.15,400
Access National Corp.,ANCX,20130225,15.79,16.02,15.65,15.68,59100
Andina Acquisition Corporation,ANDA,20130225,9.93,10,9.9,10,12200
Andina Acquisition Corporation,ANDAW,20130225,0.19,0.19,0.19,0.19,7000
The Andersons,ANDE,20130225,49.15,49.65,48.19,48.32,179900
Anaren,ANEN,20130225,19.51,19.66,19.2,19.2,29700
Angie's List Inc.,ANGI,20130225,16.68,16.72,15.96,16,701500
Angiodynamics,ANGO,20130225,12.36,12.44,11.95,11.95,66300
Anika Therapeutics Inc.,ANIK,20130225,10.76,10.76,10.53,10.56,51600
Analysts International Corp.,ANLY,20130225,3.58,3.65,3.58,3.64,10400
Annapolis Bancorp Inc.,ANNB,20130225,13.23,13.23,12.92,12.92,500
Ansys,ANSS,20130225,76.52,77.17,75.45,75.47,405500
Anthera Pharmaceuticals,ANTH,20130225,0.66,0.66,0.49,0.62,2686900
Phazar Corp,ANTP,20130225,1.39,1.45,1.26,1.33,47300
Alpha And Omega Semiconductor,AOSL,20130225,8.33,8.4,8.11,8.11,47300
Apco Oil And Gas International,APAGF,20130225,13.27,13.34,12.86,12.92,13200
American Public Education,APEI,20130225,41.28,41.29,38.64,38.78,62100
American Pacific Corp.,APFC,20130225,22.59,23.55,22.59,22.86,211300
Acme Packet,APKT,20130225,29.2,29.23,29.16,29.16,3706600
Apogee Enterprises,APOG,20130225,25.21,25.23,24.61,24.62,220700
Apollo Group,APOL,20130225,18.71,18.75,17.81,17.83,4372400
Aspenbio Pharma,APPY,20130225,2.36,2.65,2.34,2.4,1660500
Apricus Biosciences Inc,APRI,20130225,2.7,2.81,2.62,2.76,164400
Alto Palermo S.A.,APSA,20130225,17.26,17.31,17.03,17.04,3200
Asia Pac Wire &Cable,APWC,20130225,3.99,4.05,3.99,4.05,2200
Accuray Incorporated,ARAY,20130225,4.43,4.53,4.4,4.43,1465200
Ares Capital Corp.,ARCC,20130225,18.35,18.45,18.1,18.1,2051800
Appliance Recycling Centers,ARCI,20130225,1.33,1.37,1.29,1.3,15800
American Realty Capital Propert,ARCP,20130225,14.69,14.82,13.95,14.23,279800
Arc Wireless Solutions,ARCW,20130225,5.56,5.56,5.56,5.56,100
Arden Group,ARDNA,20130225,91.27,93,91.27,92.25,1200
Approach Resources Inc.,AREX,20130225,25.1,25.53,24.33,24.44,972800
Ariad Pharmaceuticals,ARIA,20130225,21.2,21.67,21.04,21.21,3052900
American Railcar Industries,ARII,20130225,43.58,44.23,42.38,42.82,357600
Ark Restaurants,ARKR,20130225,21.51,21.62,21.09,21.11,34500
Alliance Resource Partners L.P.,ARLP,20130225,61.66,61.71,60.01,60.32,61500
Arm Holdings Plc,ARMH,20130225,42.57,42.82,42.07,42.1,1430800
Arena Pharmaceuticals,ARNA,20130225,8.55,8.7,8.25,8.27,4555000
Arrow Financial Corp.,AROW,20130225,25,25,24.4,24.54,51200
Arqule,ARQL,20130225,2.41,2.45,2.36,2.36,237700
Arris Group Inc,ARRS,20130225,17.17,17.27,16.96,16.97,1727500
Array Biopharma Inc.,ARRY,20130225,4.09,4.17,3.75,3.78,1185700
Arthrocare Corp.,ARTC,20130225,35.9,35.94,34.78,34.79,69300
Artesian Resources Corp.,ARTNA,20130225,22.53,22.59,21.91,21.93,15300
Art'S-Way Manufacturing Co.,ARTW,20130225,6.75,6.98,6.51,6.8,21000
Arotech Corp.,ARTX,20130225,1.08,1.13,1.08,1.12,12500
Aruba Networks,ARUN,20130225,25.67,25.68,24.47,24.51,4187600
Arrowhead Research Corp.,ARWR,20130225,2.17,2.2,2,2.09,101200
Asb Bancorp Inc.,ASBB,20130225,16.53,16.53,16.5,16.53,63200
Associated Banc-Corp,ASBC,20130225,14.61,14.73,14.15,14.17,779500
Ameriana Bancorp,ASBI,20130225,8.88,8.93,8.58,8.93,2300
Ameristar Casinos,ASCA,20130225,26.38,26.4,26.21,26.26,286200
Ascent Media Corp.,ASCMA,20130225,69.31,69.55,68.04,68.18,31700
American Science And Engineering,ASEI,20130225,63.81,63.85,62.03,62.03,36800
Asta Funding,ASFI,20130225,9.71,9.71,9.44,9.48,12400
Asiainfo-Linkage,ASIA,20130225,10.86,11.06,10.81,10.97,130900
Asm International N.V.,ASMI,20130225,40.2,40.2,38.66,38.66,13200
Asml Holding N.V.,ASML,20130225,72.75,72.96,69.67,69.73,1522200
Ascena Retail Group,ASNA,20130225,16.51,16.97,16.49,16.51,2382800
Altisource Portfolio Solutions S.A.,ASPS,20130225,78.64,79.34,77.26,77.38,245600
Ameriserv Financial Inc.,ASRV,20130225,3.08,3.08,2.95,2.95,14200
Astrotech Corp.,ASTC,20130225,0.89,0.89,0.77,0.85,41700
Astec Industries,ASTE,20130225,35.37,35.44,34.67,34.7,91000
Ascent Solar Technologies,ASTI,20130225,0.72,0.72,0.69,0.69,101200
Aastrom Biosciences,ASTM,20130225,1.23,1.24,1.17,1.19,249900
Astex Pharmaceuticals Inc,ASTX,20130225,3.14,3.14,2.97,3.01,539500
Asure Software Inc,ASUR,20130225,6.73,6.9,6.66,6.71,13000
Amtech Systems,ASYS,20130225,4.18,4.38,4.11,4.15,65700
Ata Inc.,ATAI,20130225,4.03,4.15,4.03,4.03,6600
America First Tax Exempt L.P.,ATAX,20130225,7.18,7.18,7.1,7.11,63100
Astea International,ATEA,20130225,2.67,2.8,2.67,2.68,13900
Alphatec Holdings,ATEC,20130225,1.74,1.75,1.65,1.66,164100
Athenahealth,ATHN,20130225,89.95,90.97,88.4,88.78,342900
Athersys,ATHX,20130225,1.5,1.63,1.48,1.52,369900
Atlanticus Holdings Corp.,ATLC,20130225,3.38,3.48,3.38,3.46,9400
Ames National Corp.,ATLO,20130225,20.51,20.64,20.1,20.1,16200
Atmi Inc.,ATMI,20130225,22.07,22.29,21.55,21.59,163400
Atmel Corp.,ATML,20130225,6.81,6.88,6.53,6.54,4547600
Atlantic Tele-Network,ATNI,20130225,49.05,49.95,47.56,47.83,85400
Api Technologies,ATNY,20130225,2.74,2.76,2.65,2.66,52600
Atossa Genetics Inc.,ATOS,20130225,6.76,6.94,6.51,6.54,34300
Atricure,ATRC,20130225,8.58,8.65,8.25,8.25,65100
Atrion Corp.,ATRI,20130225,203.44,203.44,198.01,198.01,1000
Aetrium Inc.,ATRM,20130225,0.62,0.65,0.6,0.62,37100
Astronics Corp.,ATRO,20130225,27.75,27.98,27.28,27.48,66000
Antares Pharma,ATRS,20130225,3.44,3.54,3.36,3.36,894800
Air Transport Services Group Inc,ATSG,20130225,4.81,4.86,4.61,4.62,119300
Attunity Ltd,ATTU,20130225,7.31,7.4,7.13,7.21,9500
Activision Blizzard Inc,ATVI,20130225,14.5,14.7,14.32,14.33,7976800
Cross [A.T.] Company,ATX,20130225,12.59,12.9,12.38,12.41,23000
Auburn National Bancorporation,AUBN,20130225,22.57,22.57,21.58,22.25,1400
Audiocodes Ltd,AUDC,20130225,4.11,4.15,3.76,3.78,289200
Auxilium Pharmaceuticals,AUXL,20130225,16.74,17.29,16.74,17.02,951700
Aerovironment,AVAV,20130225,22.54,22.55,21.99,22.01,128500
Advocat,AVCA,20130225,5.33,5.59,5.28,5.54,2900
Aveo Pharmaceuticals,AVEO,20130225,6.66,6.77,6.43,6.51,682100
Avago Technologies,AVGO,20130225,34.13,34.22,32.94,32.95,3063100
Av Homes Inc,AVHI,20130225,14.36,14.36,13.85,13.86,10600
Avid Technology,AVID,20130225,7.34,7.69,6.71,6.98,514100
Avanir Pharmaceuticals Inc,AVNR,20130225,2.78,2.82,2.71,2.73,984300
Aviat Networks,AVNW,20130225,3.72,3.79,3.54,3.56,313500
Homeaway Inc.,AWAY,20130225,28.08,29.44,27.74,27.81,2433600
Aware,AWRE,20130225,5.21,5.21,5.02,5.05,43600
Abraxas Petroleum Corp.,AXAS,20130225,2.13,2.13,2.06,2.06,490500
Accelerate Diagnostics Inc.,AXDX,20130225,5.75,5.75,5.01,5.16,46700
ACWI Ex-US Financials MSCI Ishares,AXFN,20130225,25.48,25.48,24.5,24.5,1100
Axt Inc,AXTI,20130225,2.89,2.95,2.8,2.8,227500
Aspen Technology,AZPN,20130225,30.87,30.96,30.38,30.41,456600
Natus Medical Inc.,BABY,20130225,12.06,12.06,11.67,11.67,116200
Einstein Noah Restaurant Group,BAGL,20130225,13.36,13.42,13.15,13.24,82500
Books-A-Million,BAMM,20130225,2.4,2.52,2.3,2.3,113500
First Pactrust Bancorp,BANC,20130225,11.21,11.4,10.91,10.95,20600
First Pactrust Bancorp Inc.,BANCL,20130225,25.81,25.84,25.68,25.68,8900
Bancfirst Corp.,BANF,20130225,41.72,42.44,40.05,40.05,13500
Banner Corp.,BANR,20130225,30.15,30.38,29.68,29.87,245500
Bioanalytical Systems,BASI,20130225,1.64,1.75,1.56,1.59,7200
Bed Bath & Beyond Inc.,BBBY,20130225,58.25,58.58,56.87,56.89,2367900
Bbcn Bancorp Inc,BBCN,20130225,12.75,12.84,12.3,12.32,250700
Breitburn Energy Partners L.P.,BBEP,20130225,19.75,19.89,19.26,19.27,655000
Beasley Broadcast Group,BBGI,20130225,5.2,5.2,5,5,3300
Bridge Capital Holdings,BBNK,20130225,15.65,15.65,15.06,15.07,11100
Black Box Corp.,BBOX,20130225,25.99,25.99,24.2,24.21,37400
Bravo Brio Restaurant Group,BBRG,20130225,15,15.18,14.71,14.81,297400
Blackberry,BBRY,20130225,13.66,13.76,13.05,13.25,35725100
Barrett Business Services,BBSI,20130225,44.72,45.38,44.1,44.56,86600
Bcb Bancorp Inc. [Nj],BCBP,20130225,9.97,10.06,9.83,9.83,2500
Bcd Semiconductor Manufacturing Ltd,BCDS,20130225,7.9,7.95,7.9,7.94,40700
B Communications Ltd,BCOM,20130225,4.66,4.66,4.65,4.65,700
Berjaya Philippines Inc,BCOR,20130225,16.02,16.17,15.44,15.44,318200
Brightcove Inc.,BCOV,20130225,6.51,6.56,6.34,6.4,193100
Balchem Corp.,BCPC,20130225,39.7,39.92,38.65,38.81,91400
Biocryst Pharmaceuticals,BCRX,20130225,1.25,1.27,1.18,1.2,703500
Bcsb Bancorp,BCSB,20130225,16.02,16.02,15.75,16.02,300
Boulder Brands Inc,BDBD,20130225,12.34,12.5,11.92,12.05,790800
Black Diamond,BDE,20130225,8.36,8.37,8.04,8.06,88800
Bridge Bancorp,BDGE,20130225,21.92,21.92,20.94,21.13,21800
Birner Dental Management Services,BDMS,20130225,17.15,17.15,17.15,17.15,100
Biodelivery Sciences International,BDSI,20130225,4.01,4.05,3.75,3.78,246300
Cardionet,BEAT,20130225,2.59,2.59,2.47,2.47,10800
Be Aerospace,BEAV,20130225,53.26,53.47,51.76,51.77,621200
Bebe Stores,BEBE,20130225,4.05,4.09,3.96,3.97,508900
Beacon Roofing Supply,BECN,20130225,37.06,37.06,35.7,35.81,386500
Bel Fuse Inc.,BELFA,20130225,16,16,16,16,800
Bel Fuse Inc.,BELFB,20130225,18.22,18.25,17.11,17.11,25300
Berkshire Bancorp,BERK,20130225,8.34,8.35,8.25,8.25,5200
Bankfinancial Corp.,BFIN,20130225,8.04,8.16,7.79,8.06,77000
Bluefly,BFLY,20130225,0.76,0.8,0.75,0.75,2400
Bgc Partners,BGCP,20130225,4.34,4.4,4.24,4.25,1842500
Big 5 Sporting Goods Corp.,BGFV,20130225,14.96,15.54,14.96,15.16,400900
Bg Medicine,BGMD,20130225,1.94,1.95,1.86,1.86,199300
Bgs Acquisition Corp.,BGSC,20130225,9.93,9.93,9.93,9.93,7500
Ultra Nasdaq Biotechnology Proshares,BIB,20130225,65.52,66.22,63.69,63.69,17400
BICK Index First Trust,BICK,20130225,25.1,25.13,24.67,24.67,900
Baidu,BIDU,20130225,89.45,89.98,88,88.01,2518900
Biogen Idec Inc,BIIB,20130225,164.08,166.95,161.25,161.36,1215700
Bioclinica Inc,BIOC,20130225,7.23,7.24,7.23,7.23,20700
Biodel Inc.,BIOD,20130225,2.7,2.81,2.7,2.72,5700
Biofuel Energy,BIOF,20130225,5.33,5.47,4.95,4.95,258500
Biolase Technology,BIOL,20130225,3.44,3.65,3.34,3.39,225600
Bioscrip,BIOS,20130225,11.61,11.61,11.02,11.05,237000
Actuate Corp.,BIRT,20130225,6.28,6.35,6.14,6.15,249200
Ultrashort Nasdaq Biotech Proshares,BIS,20130225,57,58.98,56.83,58.98,1700
Bj's Restaurants,BJRI,20130225,31.14,31.22,30.52,30.57,314800
Blackrock Kelso Capital Corp.,BKCC,20130225,10.63,10.64,10.16,10.2,550200
Blueknight Energy,BKEP,20130225,7.91,7.98,7.7,7.7,6100
Blueknight Energy Partners L.P.,BKEPP,20130225,8.96,8.99,8.65,8.77,19700
Bank Mutual Corp.,BKMU,20130225,5.9,5.9,5.57,5.61,138900
Oak Ridge Financial Services,BKOR,20130225,4.72,4.72,4.51,4.51,200
Bank Of South Carolina,BKSC,20130225,11.8,11.87,11.5,11.87,1700
The Bank Of Kentucky Financial,BKYF,20130225,26.67,26.67,25.88,25.88,11500
Ballard Power Systems,BLDP,20130225,0.71,0.72,0.68,0.68,126500
Builders Firstsource,BLDR,20130225,6,6.01,5.58,5.61,653900
Bridgeline Digital,BLIN,20130225,1.44,1.49,1.37,1.37,28200
Blackbaud,BLKB,20130225,28.32,28.6,27.92,27.96,174700
Bloomin' Brands Inc.,BLMN,20130225,17.39,17.74,17.32,17.52,513400
Bsb Bancorp Inc.,BLMT,20130225,13.1,13.14,13,13.04,69600
Biolinerx Ltd.,BLRX,20130225,3.8,3.86,3.73,3.73,115800
Bmc Software,BMC,20130225,40.61,40.9,40.06,40.1,1926800
Bank Of Marin Bancorp,BMRC,20130225,40.43,40.43,39.01,39.01,8600
Biomarin Pharmaceutical Inc.,BMRN,20130225,55.89,56.49,55.05,55.19,1280200
Bryn Mawr Bank Corp.,BMTC,20130225,23.4,23.4,22.65,22.71,28700
Biomimetic Therapeutics,BMTI,20130225,9.19,9.43,9.01,9.22,196700
Beneficial Mutual Bancorp,BNCL,20130225,9.45,9.6,9.34,9.38,817900
Bnc Bancorp,BNCN,20130225,8.63,8.69,8.58,8.66,6900
Bonso Electronics International,BNSO,20130225,1.54,1.54,1.48,1.48,4000
Bob Evans Farms,BOBE,20130225,40.75,40.79,39.72,39.74,209700
Bank Of Commerce Holdings [Ca],BOCH,20130225,5.1,5.12,5.01,5.01,37600
Body Central,BODY,20130225,7.95,8.05,7.74,8.01,326700
Bofi Holding,BOFI,20130225,33.96,34.18,32.57,32.71,143200
Bok Financial Corp.,BOKF,20130225,59.75,59.75,58.35,58.37,113900
Bolt Technology Corp.,BOLT,20130225,15.85,16,15.46,15.47,19400
Bona Film Group Limited,BONA,20130225,4.98,5.16,4.98,5,44200
The Bon-Ton Stores,BONT,20130225,10.62,10.62,10.4,10.43,206700
Dynamic Materials Corp.,BOOM,20130225,17.44,17.45,16.6,16.67,61600
B.O.S. Better Online Solutions,BOSC,20130225,3.31,3.31,3.1,3.1,900
Biota Pharmaceuticals Inc.,BOTA,20130225,3.96,4.12,3.96,4.04,14300
Bank Of The Jame Fnl,BOTJ,20130225,7.11,7.11,7.11,7.11,100
Bank Of Virginia,BOVA,20130225,3.8,3.8,3.8,3.8,200
Biosante Pharmaceuticals,BPAX,20130225,1.4,1.4,1.33,1.34,362400
Boston Private Financial Holdings,BPFH,20130225,9.4,9.4,8.95,8.98,235700
Bluephoenix Solutions,BPHX,20130225,4.38,4.48,4.35,4.47,4100
Popular,BPOP,20130225,28,28.12,27.28,27.3,1038800
Popular,BPOPM,20130225,23.34,23.43,23.34,23.43,1400
Popular,BPOPN,20130225,24,24.2,23.81,23.81,19300
Brocade Communications Systems,BRCD,20130225,5.8,5.8,5.65,5.68,5827400
Broadcom Corp.,BRCM,20130225,34.74,34.75,33.77,33.81,6287000
Craft Brewers Alliance Inc,BREW,20130225,6.77,6.79,6.6,6.6,9300
Bridgford Foods Corp.,BRID,20130225,7.92,7.92,7.83,7.83,400
Brookline Bancorp,BRKL,20130225,9.16,9.19,8.99,8.99,314500
Bruker Corp.,BRKR,20130225,17.87,17.87,17.39,17.41,491300
Brooks Automation,BRKS,20130225,10.25,10.25,9.83,9.88,345000
Bio-Reference Laboratories,BRLI,20130225,25.95,26.07,24.9,24.91,216200
Bsd Medical Corp.,BSDM,20130225,1.43,1.43,1.33,1.33,70400
Bassett Furniture Industries Inc.,BSET,20130225,14.43,14.47,13.99,14.03,23300
Broadsoft,BSFT,20130225,33.33,34.77,33,33.35,387300
Biostar Pharmaceuticals,BSPM,20130225,1.12,1.12,1.03,1.05,12100
Bsquare Corp.,BSQR,20130225,3.15,3.18,3.05,3.05,22300
Sierra Bancorp,BSRR,20130225,12.87,12.89,12.11,12.4,23500
Biospecifics Technologies Corp,BSTC,20130225,15.51,15.66,15.08,15.1,15500
Btu International,BTUI,20130225,3.27,3.27,3.25,3.26,3800
Burcon Nutrascience,BUR,20130225,3.25,3.35,3.25,3.29,5200
First Busey Corp.,BUSE,20130225,4.37,4.41,4.29,4.34,527100
Bazaarvoice Inc.,BV,20130225,6.55,6.91,6.54,6.57,668800
Broadvision,BVSN,20130225,8.26,8.35,8.23,8.29,17500
Broadwind Energy,BWEN,20130225,3.14,3.15,2.98,3.01,46100
