<name>,<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
Asset Acceptance Capital,AACC,20130220,5.57,5.67,5.3,5.34,25900
AC Asia Information Tech MSCI Ishares,AAIT,20130220,28.24,28.25,28.03,28.03,1000
Atlantic American Corp.,AAME,20130220,3.19,3.24,3.11,3.23,2100
Aaon,AAON,20130220,24.2,24.45,23.74,23.77,103600
Apple Inc.,AAPL,20130220,457.69,457.69,448.8,448.85,17010600
Atlas Air Worldwide Holdings,AAWW,20130220,46.56,47.14,46.38,46.7,420900
All Country Asia Ex Jpn Idx MSCI Ishares,AAXJ,20130220,61.05,61.05,60.38,60.41,1659100
Abaxis,ABAX,20130220,43.4,43.53,42.12,42.31,165000
Ameris Bancorp,ABCB,20130220,14.16,14.16,13.85,13.85,62600
Cambium Learning Group,ABCD,20130220,1.28,1.29,1.23,1.23,5500
The Advisory Board Company,ABCO,20130220,50.17,50.6,49.96,49.96,340200
Arkansas Best Corp.,ABFS,20130220,11.51,11.75,11.36,11.38,301900
Arca Biopharma,ABIO,20130220,0.55,0.57,0.52,0.52,212500
Abiomed,ABMD,20130220,14.4,14.46,14.11,14.12,414700
Autobytel Inc.,ABTL,20130220,4.36,4.39,4.13,4.27,32300
Acadia Pharmaceuticals Inc.,ACAD,20130220,6.24,6.29,6.04,6.09,1173200
American Capital,ACAS,20130220,14,14.27,13.96,14.04,4523600
Arctic Cat Inc.,ACAT,20130220,36.15,36.8,35.93,36.32,471900
Accelrys,ACCL,20130220,9.89,9.93,9.83,9.85,221900
Aceto Corp.,ACET,20130220,10.5,10.59,10.41,10.46,305200
Atlantic Coast Federal Corp.,ACFC,20130220,3.6,3.7,3.5,3.5,3100
Acorn Energy,ACFN,20130220,7.63,7.63,7.26,7.26,52300
Arch Capital Group Ltd,ACGL,20130220,48.13,48.23,47.73,47.83,533000
Acadia Healthcare Company Inc.,ACHC,20130220,26.3,26.4,24.93,25.89,255100
Achillion Pharmaceuticals,ACHN,20130220,9.94,10.12,9.38,9.53,873500
Aci Worldwide,ACIW,20130220,48.22,48.68,47.57,47.68,107100
Axcelis Technologies,ACLS,20130220,1.27,1.27,1.19,1.22,400600
Acnb Corp.,ACNB,20130220,16.54,17,16.54,16.8,12200
Acorda Therapeutics,ACOR,20130220,30.27,31.05,30.25,30.72,758000
Active Power,ACPW,20130220,4.95,4.95,4.7,4.78,65900
Acelrx Pharmaceuticals,ACRX,20130220,5.64,5.81,5.48,5.52,238800
Acasti Pharma Inc,ACST,20130220,2.52,2.52,2,2.22,652700
Acacia Research Corp.,ACTG,20130220,28.64,28.64,28.02,28.12,484700
Actions Semiconductor Co.,ACTS,20130220,2.19,2.24,2.12,2.2,62300
Acura Pharmaceuticals,ACUR,20130220,2.1,2.12,2.01,2.03,130200
ACWI Index MSCI Ishares,ACWI,20130220,50.54,50.56,49.93,49.94,441600
ACWI Ex-US Index MSCI Ishares,ACWX,20130220,43.31,43.39,42.77,42.78,430100
Acxiom Corp.,ACXM,20130220,18.02,18.15,17.9,17.94,506900
Authentidate Holding,ADAT,20130220,0.76,0.77,0.68,0.7,100100
Adobe Systems Incorporated,ADBE,20130220,39.05,39.28,38.75,38.77,3129500
Adept Technology,ADEP,20130220,3.46,3.52,3.44,3.45,14200
Ada-Es,ADES,20130220,25.3,25.96,25.11,25.39,87600
Analog Devices,ADI,20130220,46.9,47.27,45.76,45.79,3473100
Audience Inc.,ADNC,20130220,12.8,13.79,12.66,13.7,220600
Automatic Data Processing,ADP,20130220,61.43,61.76,61.13,61.21,2000700
Asia 50 ADR Index Bldrs,ADRA,20130220,27.36,27.39,27.2,27.3,2200
Dev Mkts 100 ADR Index Bldrs,ADRD,20130220,22.06,22.06,21.8,21.8,1300
Emrg Mkts 50 ADR Index Bldrs,ADRE,20130220,40.3,40.3,39.6,39.6,39800
Europe 100 ADR Index Bldrs,ADRU,20130220,21.53,21.53,21.53,21.53,0
Autodesk,ADSK,20130220,39.17,39.67,38.7,38.73,6135800
Adtran,ADTN,20130220,23.55,23.82,23.4,23.4,1022800
Addus Homecare Corp.,ADUS,20130220,9.9,9.99,9.25,9.29,118700
Advent Software,ADVS,20130220,26.37,26.61,26.14,26.17,88400
Aegoin Corp,AEGN,20130220,24.14,24.18,23.28,23.35,329900
Aegerion Pharmaceuticals,AEGR,20130220,29,29.26,28.39,28.55,354000
Aehr Test Systems,AEHR,20130220,0.98,0.98,0.98,0.98,0
Advanced Energy Industries,AEIS,20130220,18.36,18.75,18.11,18.12,668000
Aep Industries Inc.,AEPI,20130220,64.88,65.16,62.93,63.05,28800
Asia Entertainment & Resources Ltd,AERL,20130220,3.68,3.81,3.57,3.68,210200
American Electric Technologies,AETI,20130220,4.95,5.01,4.88,5,24500
Addvantage Technologies Group,AEY,20130220,2.24,2.29,2.24,2.29,16900
Aeterna Zentaris,AEZS,20130220,2.58,2.75,2.56,2.61,486700
Almost Family Inc,AFAM,20130220,20.82,21,20.22,20.8,42900
Athens Bancshares Corp.,AFCB,20130220,18.19,18.19,18.17,18.17,200
Afc Enterprises,AFCE,20130220,31.02,31.16,31,31.08,223300
Affymetrix,AFFX,20130220,3.87,3.88,3.82,3.86,732400
Affymax,AFFY,20130220,16.1,16.9,16.1,16.4,1239300
Atlas Financial Holdings Inc.,AFH,20130220,5.94,5.95,5.85,5.9,13300
Alliance Fiber Optic Products,AFOP,20130220,11.53,11.67,11.53,11.58,13900
Amtrust Financial Services,AFSI,20130220,34.08,34.31,33.63,33.68,310500
Agenus Inc.,AGEN,20130220,4.55,4.63,4.32,4.32,96400
Argo Group International Holdings Ltd,AGII,20130220,38.61,38.75,38.15,38.17,99500
Argo Group International Holdin,AGIIL,20130220,25.19,25.19,25.1,25.11,10300
American Capital Agency,AGNC,20130220,32.65,32.74,32.4,32.46,3435100
American Capital,AGNCP,20130220,26.21,26.25,26.19,26.19,21900
Agilysys,AGYS,20130220,9.71,9.8,9.55,9.6,31700
Alliance Holdings Gp L.P.,AHGP,20130220,51.65,51.93,51.45,51.85,20800
Allied Healthcare Products,AHPI,20130220,2.58,2.74,2.58,2.74,2300
Altra Holdings,AIMC,20130220,26.4,26.45,25.52,25.57,163600
Apollo Investment Corp.,AINV,20130220,8.6,8.64,8.39,8.4,1588500
Alliance Healthcare Services,AIQ,20130220,6.99,7.25,6.96,6.96,16700
Air Methods Corp.,AIRM,20130220,43.93,44.49,43.03,43.06,212200
Air T,AIRT,20130220,9.64,9.64,9.15,9.16,11000
Aixtron Se,AIXG,20130220,12.49,12.54,12.2,12.21,229900
Akamai Technologies,AKAM,20130220,38.62,38.76,37.37,37.4,4099600
Akorn,AKRX,20130220,12.97,13.36,12.94,13.07,409900
Alico,ALCO,20130220,42.8,44.03,42.8,43.74,14500
Alco Stores Inc,ALCS,20130220,8.36,8.36,8.02,8.27,4100
Align Technology,ALGN,20130220,32.38,32.92,31.71,31.73,711800
Allegiant Travel Company,ALGT,20130220,79.63,80.96,79,79.03,153300
Alimera Sciences,ALIM,20130220,2.61,2.88,2.5,2.62,43800
Alkermes,ALKS,20130220,21.31,21.71,21.01,21.56,1437700
Alliance Bank,ALLB,20130220,12.9,13.11,12.9,13.11,300
Allot Communications Ltd,ALLT,20130220,14.85,15.55,14.8,15.23,983100
Alliance Financial Corp.,ALNC,20130220,45.38,45.75,45.12,45.12,8100
Alnylam Pharmaceuticals,ALNY,20130220,24.69,24.69,23.82,23.92,518700
Analogic Corp.,ALOG,20130220,76.28,76.48,74.67,74.77,81400
Astro-Med,ALOT,20130220,10.26,10.26,10.15,10.15,2800
American Learning Corp.,ALRN,20130220,0.43,0.43,0.43,0.43,0
Alaska Communications Systems,ALSK,20130220,1.75,1.75,1.73,1.73,230400
Alterra Capital Holdings Ltd,ALTE,20130220,30.99,31.18,30.71,30.78,630900
Altair Nanotechnologies Inc.,ALTI,20130220,2.25,2.25,2.19,2.21,8200
Altera Corp.,ALTR,20130220,36.29,36.37,35.43,35.45,3670700
Alvarion Ltd,ALVR,20130220,0.52,0.54,0.5,0.52,880000
Alexza Pharmaceuticals,ALXA,20130220,4.65,4.7,4.45,4.46,172200
Alexion Pharmaceuticals,ALXN,20130220,84.44,85.28,83.3,84.46,4062300
Amag Pharmaceuticals,AMAG,20130220,16.83,17.04,16.75,16.75,86300
Autonavi Holdings,AMAP,20130220,11.31,11.66,11.21,11.36,292000
Applied Materials,AMAT,20130220,13.9,13.91,13.56,13.59,13893300
Ambarella Inc.,AMBA,20130220,9.91,10.01,9.32,9.49,166300
Ambient Corp,AMBT,20130220,2.85,2.85,2.7,2.75,16200
Applied Micro Circuits Corp.,AMCC,20130220,8.76,8.96,8.73,8.82,1024400
Andatee China Marine Fuel Services,AMCF,20130220,0.8,0.84,0.74,0.79,152400
Airmedia Group Inc,AMCN,20130220,2.23,2.27,2.16,2.23,17900
Amc Networks Inc.,AMCX,20130220,59.09,59.73,59.02,59.68,498900
Amedisys Inc,AMED,20130220,13.14,13.14,12.46,12.47,312500
Amgen Inc.,AMGN,20130220,84.37,85.34,84.24,84.65,6388200
American Independence,AMIC,20130220,4.84,4.87,4.84,4.87,200
Amkor Technology,AMKR,20130220,4.79,4.84,4.6,4.62,509000
American National Bankshares,AMNB,20130220,20.5,20.5,20.31,20.31,12300
Allied Motion Technologies,AMOT,20130220,7.15,7.15,7.01,7.15,54000
America Movil S.A.B. De C.V.,AMOV,20130220,22.75,22.92,22.2,22.2,20000
Ampio Pharmaceutical,AMPE,20130220,3.89,3.97,3.82,3.88,96500
American River Bankshares,AMRB,20130220,7.3,7.3,7.29,7.3,2600
Albany Molecular Research,AMRI,20130220,8.26,8.48,8.05,8.14,569400
Amarin Corporation Plc,AMRN,20130220,8.75,8.75,8.35,8.5,3359800
Amyris,AMRS,20130220,3.23,3.31,3.06,3.17,401700
American Superconductor Corp.,AMSC,20130220,3.14,3.19,3.07,3.08,315800
Amerisafe,AMSF,20130220,30.02,30.02,28.91,28.97,58700
Amsurg,AMSG,20130220,32.62,32.77,32.21,32.3,158500
American Software,AMSWA,20130220,8.65,8.77,8.55,8.55,33100
American Woodmark Corp.,AMWD,20130220,35.24,35.24,33.29,33.58,386200
Amazon.Com,AMZN,20130220,270.2,274.3,266.37,266.41,3530600
Anacor Pharmaceuticals,ANAC,20130220,3.21,3.25,3.16,3.2,82900
Anadigics,ANAD,20130220,2.57,2.57,2.25,2.4,2040800
American National Insurance,ANAT,20130220,82.81,82.92,80.62,80.62,17100
Anchor Bancorp,ANCB,20130220,14.68,14.68,14.3,14.3,1400
American Caresource Holdings,ANCI,20130220,1.71,1.93,1.7,1.93,1500
Access National Corp.,ANCX,20130220,16.01,16.01,15.72,15.72,44700
Andina Acquisition Corporation,ANDAU,20130220,10,10,10,10,0
Andina Acquisition Corporation,ANDAW,20130220,0.2,0.2,0.2,0.2,0
The Andersons,ANDE,20130220,49.48,49.5,48.7,48.97,121600
Anaren,ANEN,20130220,19.57,19.57,18.73,18.96,35100
Angie's List Inc.,ANGI,20130220,17.1,17.46,17,17.09,1102400
Angiodynamics,ANGO,20130220,12.59,12.59,12.17,12.19,92400
Anika Therapeutics Inc.,ANIK,20130220,10.83,10.83,10.51,10.62,118900
Analysts International Corp.,ANLY,20130220,3.65,3.7,3.65,3.69,7300
Annapolis Bancorp Inc.,ANNB,20130220,13.46,13.46,13.26,13.26,700
Ansys,ANSS,20130220,76.4,76.99,76.08,76.09,312800
Anthera Pharmaceuticals,ANTH,20130220,0.65,0.66,0.65,0.65,869500
Phazar Corp,ANTP,20130220,1.47,1.55,1.33,1.5,22600
Alpha And Omega Semiconductor,AOSL,20130220,8.73,8.73,8.35,8.35,38700
Apco Oil And Gas International,APAGF,20130220,13.5,13.57,13.02,13.05,16100
American Public Education,APEI,20130220,41.65,42.17,41.13,41.33,110400
American Pacific Corp.,APFC,20130220,20.56,20.96,20.37,20.71,22400
Acme Packet,APKT,20130220,29.22,29.24,29.14,29.15,2166000
Apogee Enterprises,APOG,20130220,25.05,25.37,24.77,24.88,222600
Apollo Group,APOL,20130220,19.37,19.46,19.11,19.13,1492300
Aspenbio Pharma,APPY,20130220,2.23,2.26,2.14,2.18,63500
Apricus Biosciences Inc,APRI,20130220,2.6,2.7,2.52,2.58,322400
Alto Palermo S.A.,APSA,20130220,18.04,18.09,17.64,17.64,2600
Asia Pac Wire &Cable,APWC,20130220,4.12,4.19,4.05,4.05,9500
Accuray Incorporated,ARAY,20130220,4.7,4.7,4.43,4.48,1430900
Ares Capital Corp.,ARCC,20130220,18.37,18.45,18.2,18.22,1427000
Appliance Recycling Centers,ARCI,20130220,1.39,1.4,1.33,1.37,14300
American Realty Capital Propert,ARCP,20130220,14.4,14.4,13.92,14.19,246400
Arc Wireless Solutions,ARCW,20130220,5.67,5.67,5.67,5.67,200
Arden Group,ARDNA,20130220,92,92,90.5,90.5,1500
Approach Resources Inc.,AREX,20130220,25.12,25.12,24.44,24.5,512600
Ariad Pharmaceuticals,ARIA,20130220,20.98,21.95,20.78,20.84,3235000
American Railcar Industries,ARII,20130220,41.33,41.5,39.23,40.27,369000
Ark Restaurants,ARKR,20130220,21.15,21.25,20.99,21.01,27500
Alliance Resource Partners L.P.,ARLP,20130220,62.54,62.54,61.76,62.17,60600
Arm Holdings Plc,ARMH,20130220,43.87,44.03,42.8,42.9,2477800
Arena Pharmaceuticals,ARNA,20130220,8.37,8.45,8.31,8.31,3421600
Arrow Financial Corp.,AROW,20130220,24.95,25,24.74,24.79,33900
Arqule,ARQL,20130220,2.53,2.58,2.5,2.53,262100
Arris Group Inc,ARRS,20130220,17.38,17.39,17.03,17.07,1547900
