<name>,<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
Asset Acceptance Capital,AACC,20130301,5.17,5.22,5.01,5.21,50800
AC Asia Information Tech MSCI Ishares,AAIT,20130301,28.82,28.82,28.04,28.1,6000
Atlantic American Corp.,AAME,20130301,3.36,3.42,3.16,3.4,3200
Aaon,AAON,20130301,23.96,24.54,23.88,24.45,35600
Apple Inc.,AAPL,20130301,438,438.18,429.98,430.47,19730200
Atlas Air Worldwide Holdings,AAWW,20130301,47.05,47.45,45.84,46.4,579000
All Country Asia Ex Jpn Idx MSCI Ishares,AAXJ,20130301,59.88,60.22,59.73,60.13,729700
Abaxis,ABAX,20130301,42,43.18,41.82,42.96,121200
Ameris Bancorp,ABCB,20130301,13.73,14.18,13.73,13.98,39400
Cambium Learning Group,ABCD,20130301,1.23,1.23,1.21,1.21,7800
The Advisory Board Company,ABCO,20130301,50.31,52.94,50.31,52.45,559600
Arkansas Best Corp.,ABFS,20130301,11.43,11.46,11.08,11.11,224800
Arca Biopharma,ABIO,20130301,0.51,0.52,0.45,0.46,584900
Abiomed,ABMD,20130301,15.83,16.1,15.8,15.99,334700
Autobytel Inc.,ABTL,20130301,4.21,4.53,4.11,4.24,53700
Acadia Pharmaceuticals Inc.,ACAD,20130301,6.09,6.5,6.02,6.36,2492100
American Capital,ACAS,20130301,13.92,14.09,13.77,14.01,7005800
Arctic Cat Inc.,ACAT,20130301,36.12,36.56,35.86,36.52,359300
Accelrys,ACCL,20130301,9.33,9.46,9.33,9.36,299600
Aceto Corp.,ACET,20130301,10.32,10.55,10.32,10.46,81000
Atlantic Coast Federal Corp.,ACFC,20130301,4.1,4.25,4.06,4.16,33800
Acorn Energy,ACFN,20130301,6.43,6.55,6.4,6.45,57800
Arch Capital Group Ltd,ACGL,20130301,49,49.57,48.9,49.52,1241400
Acadia Healthcare Company Inc.,ACHC,20130301,27.07,27.14,26.41,26.5,353600
Achillion Pharmaceuticals,ACHN,20130301,7.98,8.27,7.88,8.15,924900
Aci Worldwide,ACIW,20130301,44.77,46.1,44.08,45.85,405900
Axcelis Technologies,ACLS,20130301,1.1,1.15,1.1,1.15,314500
Acnb Corp.,ACNB,20130301,16.7,16.7,16.5,16.53,4300
Acorda Therapeutics,ACOR,20130301,29.51,30.51,29.2,30.4,512800
Active Power,ACPW,20130301,4.51,4.65,4.38,4.42,114800
Acelrx Pharmaceuticals,ACRX,20130301,4.96,5.02,4.93,4.96,192100
Acasti Pharma Inc,ACST,20130301,2.3,2.3,2.27,2.27,2600
Acacia Research Corp.,ACTG,20130301,27.79,27.96,27.27,27.71,1116700
Actions Semiconductor Co.,ACTS,20130301,2.14,2.16,2.11,2.15,23000
Acura Pharmaceuticals,ACUR,20130301,2.05,2.1,2,2.04,83600
ACWI Index MSCI Ishares,ACWI,20130301,49.61,49.92,49.41,49.89,605200
ACWI Ex-US Index MSCI Ishares,ACWX,20130301,42.38,42.59,42.16,42.58,100100
Acxiom Corp.,ACXM,20130301,18.04,18.29,17.68,18.2,477300
Authentidate Holding,ADAT,20130301,0.69,0.69,0.64,0.69,27100
Adobe Systems Incorporated,ADBE,20130301,39.3,39.88,38.96,39.83,2328100
Adept Technology,ADEP,20130301,3.08,3.08,3,3.03,4300
Ada-Es,ADES,20130301,26.53,29,26.53,27.74,334300
Analog Devices,ADI,20130301,45,45.44,44.41,45.23,2392700
Audience Inc.,ADNC,20130301,13.53,13.75,13.52,13.67,116200
Automatic Data Processing,ADP,20130301,61.15,61.75,60.69,61.65,1703300
Asia 50 ADR Index Bldrs,ADRA,20130301,27.07,27.07,27.07,27.07,100
Dev Mkts 100 ADR Index Bldrs,ADRD,20130301,21.38,21.38,21.38,21.38,500
Emrg Mkts 50 ADR Index Bldrs,ADRE,20130301,38.95,39.23,38.95,39.22,12400
Europe 100 ADR Index Bldrs,ADRU,20130301,20.83,20.98,20.83,20.89,1700
Autodesk,ADSK,20130301,37.25,37.56,36.55,37.36,11398300
Adtran,ADTN,20130301,22,22,21.04,21.14,1821100
Addus Homecare Corp.,ADUS,20130301,8.7,8.77,8.5,8.56,26600
Advent Software,ADVS,20130301,26,26.65,25.7,26.31,159900
Aegoin Corp,AEGN,20130301,23.96,24.2,23.4,23.96,365900
Aegerion Pharmaceuticals,AEGR,20130301,29.79,31.53,29.79,31.31,848400
Aehr Test Systems,AEHR,20130301,0.86,0.86,0.86,0.86,100
Advanced Energy Industries,AEIS,20130301,18.03,18.7,17.85,18.48,534100
Aep Industries Inc.,AEPI,20130301,70.88,71.49,70.14,70.6,34300
Asia Entertainment & Resources Ltd,AERL,20130301,3.69,3.9,3.68,3.83,177600
American Electric Technologies,AETI,20130301,4.98,4.98,4.77,4.9,1900
Addvantage Technologies Group,AEY,20130301,2.29,2.29,2.16,2.17,1200
Aeterna Zentaris,AEZS,20130301,2.46,2.58,2.43,2.52,268200
Almost Family Inc,AFAM,20130301,20.55,20.99,20.45,20.89,73700
Athens Bancshares Corp.,AFCB,20130301,18,18,18,18,2400
Afc Enterprises,AFCE,20130301,30.33,33.45,30.25,32.49,634500
Affymetrix,AFFX,20130301,4.03,4.15,4,4.15,631000
Affymax,AFFY,20130301,2.65,2.69,2.59,2.68,3398400
Atlas Financial Holdings Inc.,AFH,20130301,5.95,6.07,5.95,5.95,14400
Alliance Fiber Optic Products,AFOP,20130301,11.04,11.1,10.96,11.1,9200
Amtrust Financial Services,AFSI,20130301,33.03,34.1,32.8,33.84,251200
Agenus Inc.,AGEN,20130301,4.3,4.31,4.15,4.3,54200
Argo Group International Holdings Ltd,AGII,20130301,37.62,38.42,37.18,38.1,65700
Argo Group International Holdin,AGIIL,20130301,24.99,25.03,24.91,25,28300
American Capital Agency,AGNC,20130301,31.7,31.85,31.69,31.74,11296000
American Capital,AGNCP,20130301,26.3,26.33,26.28,26.3,7700
Agilysys,AGYS,20130301,9.12,9.34,8.87,9.28,58000
Alliance Holdings Gp L.P.,AHGP,20130301,51.9,52.12,51.01,52,25600
Allied Healthcare Products,AHPI,20130301,2.69,2.69,2.69,2.69,100
Altra Holdings,AIMC,20130301,25.99,26.15,25.41,25.73,95600
Apollo Investment Corp.,AINV,20130301,8.64,8.71,8.52,8.68,1769900
Alliance Healthcare Services,AIQ,20130301,6.99,7,6.95,7,1100
Air Methods Corp.,AIRM,20130301,45.68,47.81,45.3,45.86,1186700
Air T,AIRT,20130301,9.5,9.53,9.5,9.5,7000
Aixtron Se,AIXG,20130301,13.01,13.08,12.88,13.04,310100
Akamai Technologies,AKAM,20130301,36.7,36.83,36.15,36.65,2846300
Akorn,AKRX,20130301,13.68,13.96,13.49,13.82,709400
Alico,ALCO,20130301,42.39,43.31,41.89,42.2,6200
Alco Stores Inc,ALCS,20130301,7.9,7.9,7.9,7.9,1400
Align Technology,ALGN,20130301,31.18,31.64,30.7,31.13,626800
Allegiant Travel Company,ALGT,20130301,80.63,81.51,80.03,81.26,205600
Alimera Sciences,ALIM,20130301,3.04,3.24,3.04,3.18,54200
Alkermes,ALKS,20130301,21.5,21.94,21.31,21.87,994000
Alliance Bank,ALLB,20130301,13.24,13.24,13.24,13.24,100
Allot Communications Ltd,ALLT,20130301,13.65,13.75,12.64,13.09,1182900
Alliance Financial Corp.,ALNC,20130301,44.23,44.92,43.9,44.64,4600
Alnylam Pharmaceuticals,ALNY,20130301,23.52,23.79,22.99,23.74,568300
Analogic Corp.,ALOG,20130301,73.64,74.74,73.18,74.54,35400
Astro-Med,ALOT,20130301,9.93,10,9.93,10,1200
American Learning Corp.,ALRN,20130301,0.44,0.44,0.4,0.4,1000
Alaska Communications Systems,ALSK,20130301,1.93,1.93,1.77,1.78,715300
Alterra Capital Holdings Ltd,ALTE,20130301,30.49,30.8,30.38,30.7,480100
Altair Nanotechnologies Inc.,ALTI,20130301,2.05,2.15,2.05,2.15,1800
Altera Corp.,ALTR,20130301,35.38,35.51,34.73,35.51,3989600
Alvarion Ltd,ALVR,20130301,0.46,0.48,0.46,0.47,60500
Alexza Pharmaceuticals,ALXA,20130301,4.38,4.47,4.23,4.33,70500
