<name>,<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
Asset Acceptance Capital,AACC,20130219,5.63,5.65,5.47,5.55,16100
AC Asia Information Tech MSCI Ishares,AAIT,20130219,27.7,27.83,27.7,27.83,2000
Atlantic American Corp.,AAME,20130219,3.11,3.3,3.11,3.21,28700
Aaon,AAON,20130219,23.9,24.27,23.88,24.22,107700
Apple Inc.,AAPL,20130219,461.1,462.73,453.85,459.99,15563400
Atlas Air Worldwide Holdings,AAWW,20130219,47.11,47.44,46.12,46.82,283800
All Country Asia Ex Jpn Idx MSCI Ishares,AAXJ,20130219,60.66,60.8,60.52,60.69,529600
Abaxis,ABAX,20130219,43.3,43.99,43.22,43.5,156800
Ameris Bancorp,ABCB,20130219,13.97,14.16,13.84,14.12,183900
Cambium Learning Group,ABCD,20130219,1.31,1.31,1.23,1.24,19300
The Advisory Board Company,ABCO,20130219,50.04,50.33,49.8,50.2,247200
Arkansas Best Corp.,ABFS,20130219,11.68,11.77,11.41,11.5,505800
Arca Biopharma,ABIO,20130219,0.54,0.55,0.5,0.52,328900
Abiomed,ABMD,20130219,14.63,14.67,14.32,14.39,389000
Autobytel Inc.,ABTL,20130219,4.09,4.49,4.09,4.29,8800
Acadia Pharmaceuticals Inc.,ACAD,20130219,6.09,6.32,6,6.29,1020600
American Capital,ACAS,20130219,13.9,14.05,13.89,13.98,4899600
Arctic Cat Inc.,ACAT,20130219,35.71,36.1,35.57,36.09,185500
Accelrys,ACCL,20130219,9.74,9.86,9.74,9.86,107900
Aceto Corp.,ACET,20130219,10.39,10.48,10.35,10.48,98600
Atlantic Coast Federal Corp.,ACFC,20130219,3.6,3.6,3.55,3.6,9000
Acorn Energy,ACFN,20130219,7.48,7.68,7.4,7.63,23600
Arch Capital Group Ltd,ACGL,20130219,47.79,48.14,47.42,47.98,538600
Acadia Healthcare Company Inc.,ACHC,20130219,26.13,26.41,25.72,26.24,208700
Achillion Pharmaceuticals,ACHN,20130219,9.77,9.98,9.75,9.91,480200
Aci Worldwide,ACIW,20130219,47.29,48.44,47.19,48.28,105400
Axcelis Technologies,ACLS,20130219,1.26,1.3,1.23,1.27,299000
Acnb Corp.,ACNB,20130219,16.66,17,16.66,17,2200
Acorda Therapeutics,ACOR,20130219,29.63,30.38,29.63,30.35,370900
Active Power,ACPW,20130219,4.64,4.89,4.59,4.84,81300
Acelrx Pharmaceuticals,ACRX,20130219,5.45,5.65,5.41,5.6,235000
Acasti Pharma Inc,ACST,20130219,2.5,2.53,2.5,2.5,5400
Acacia Research Corp.,ACTG,20130219,29.5,29.7,28.43,28.71,453600
Actions Semiconductor Co.,ACTS,20130219,2.2,2.25,2.2,2.24,52000
Acura Pharmaceuticals,ACUR,20130219,2.1,2.1,2.01,2.09,87300
ACWI Index MSCI Ishares,ACWI,20130219,50.34,50.51,50.27,50.47,1050600
ACWI Ex-US Index MSCI Ishares,ACWX,20130219,43.11,43.26,43.04,43.24,173800
Acxiom Corp.,ACXM,20130219,17.93,18.07,17.9,18.04,260000
Authentidate Holding,ADAT,20130219,0.79,0.79,0.68,0.75,144900
Adobe Systems Incorporated,ADBE,20130219,38.58,39,38.52,38.99,2056400
Adept Technology,ADEP,20130219,3.45,3.54,3.4,3.51,22500
Ada-Es,ADES,20130219,25.1,25.54,24.99,25.23,40200
Analog Devices,ADI,20130219,46.4,47.04,46.2,47.01,2734300
Audience Inc.,ADNC,20130219,13.52,13.89,12.35,12.86,642500
Automatic Data Processing,ADP,20130219,61.22,61.49,61.09,61.46,1661800
Asia 50 ADR Index Bldrs,ADRA,20130219,27.34,27.5,27.34,27.5,4500
Dev Mkts 100 ADR Index Bldrs,ADRD,20130219,21.85,22,21.85,21.98,2500
Emrg Mkts 50 ADR Index Bldrs,ADRE,20130219,40.2,40.36,40.18,40.25,48100
Europe 100 ADR Index Bldrs,ADRU,20130219,21.59,21.6,21.53,21.53,1200
Autodesk,ADSK,20130219,39.1,39.12,38.84,38.98,1737900
Adtran,ADTN,20130219,23.14,23.67,23.02,23.61,1365700
Addus Homecare Corp.,ADUS,20130219,9.75,10,9.64,9.88,219400
Advent Software,ADVS,20130219,26.24,26.51,26.14,26.4,92100
Aegoin Corp,AEGN,20130219,23.95,24.21,23.62,24.05,793100
Aegerion Pharmaceuticals,AEGR,20130219,29.2,29.24,28.57,29.02,265000
Aehr Test Systems,AEHR,20130219,0.9,0.98,0.9,0.98,1700
Advanced Energy Industries,AEIS,20130219,18,18.48,17.96,18.36,581700
Aep Industries Inc.,AEPI,20130219,64.98,65.04,64.39,65.04,12300
Asia Entertainment & Resources Ltd,AERL,20130219,3.9,3.92,3.62,3.67,241400
American Electric Technologies,AETI,20130219,4.86,5.02,4.86,5,6700
Addvantage Technologies Group,AEY,20130219,2.23,2.31,2.23,2.28,28800
Aeterna Zentaris,AEZS,20130219,2.65,2.65,2.5,2.54,818900
Almost Family Inc,AFAM,20130219,20.82,20.95,20.66,20.81,62000
Athens Bancshares Corp.,AFCB,20130219,18.25,18.25,18.16,18.25,8000
Afc Enterprises,AFCE,20130219,30.86,31.14,30.86,31.03,155900
Affymetrix,AFFX,20130219,3.85,3.9,3.83,3.88,369000
Affymax,AFFY,20130219,16.68,16.77,15.78,16.22,1354100
Atlas Financial Holdings Inc.,AFH,20130219,5.95,5.95,5.85,5.9,33900
Alliance Fiber Optic Products,AFOP,20130219,11.52,11.53,10.94,11.53,60400
Amtrust Financial Services,AFSI,20130219,33.08,34.2,32.97,34.14,717400
Agenus Inc.,AGEN,20130219,4.35,4.58,4.26,4.56,72900
Argo Group International Holdings Ltd,AGII,20130219,38.49,38.76,38.49,38.71,48200
Argo Group International Holdin,AGIIL,20130219,25.1,25.13,25.02,25.12,12200
American Capital Agency,AGNC,20130219,32.6,32.78,32.52,32.64,4289500
American Capital,AGNCP,20130219,26.25,26.29,26.2,26.23,19700
Agilysys,AGYS,20130219,9.66,9.89,9.58,9.73,23000
Alliance Holdings Gp L.P.,AHGP,20130219,52,52,51.01,51.44,43700
Allied Healthcare Products,AHPI,20130219,2.6,2.6,2.6,2.6,0
Altra Holdings,AIMC,20130219,26.71,27.38,26.28,26.38,351000
Apollo Investment Corp.,AINV,20130219,8.55,8.74,8.53,8.6,2418200
Alliance Healthcare Services,AIQ,20130219,6.94,7.2,6.75,7.17,4100
Air Methods Corp.,AIRM,20130219,43.39,44,43.25,43.93,236800
Air T,AIRT,20130219,9.55,9.64,9.54,9.64,5500
Aixtron Se,AIXG,20130219,12.19,12.33,12.07,12.21,703400
Akamai Technologies,AKAM,20130219,38.44,38.81,38.07,38.58,3907200
Akorn,AKRX,20130219,12.87,13.02,12.72,13,531100
Alico,ALCO,20130219,42.72,42.78,42.26,42.78,18100
Alco Stores Inc,ALCS,20130219,7.68,8.23,7.6,7.96,10400
Align Technology,ALGN,20130219,32.51,32.67,32.25,32.6,809600
Allegiant Travel Company,ALGT,20130219,80.35,80.5,79.76,80.34,110900
Alimera Sciences,ALIM,20130219,2.44,2.65,2.42,2.62,53100
Alkermes,ALKS,20130219,21.19,21.28,20.86,21.24,966600
Alliance Bank,ALLB,20130219,12.77,12.8,12.77,12.8,1500
Allot Communications Ltd,ALLT,20130219,14.43,14.65,14.31,14.62,499100
Alliance Financial Corp.,ALNC,20130219,45.46,45.78,45.03,45.78,5800
Alnylam Pharmaceuticals,ALNY,20130219,24.1,25.25,24.09,24.7,491300
Analogic Corp.,ALOG,20130219,74.48,76.6,74.23,76.47,91600
Astro-Med,ALOT,20130219,10.34,10.34,10.2,10.26,4500
American Learning Corp.,ALRN,20130219,0.43,0.43,0.38,0.43,6300
Alaska Communications Systems,ALSK,20130219,1.73,1.75,1.73,1.75,211500
Alterra Capital Holdings Ltd,ALTE,20130219,30.97,31.14,30.95,31,676600
Altair Nanotechnologies Inc.,ALTI,20130219,2.26,2.3,2.2,2.2,7100
Altera Corp.,ALTR,20130219,35.81,36.62,35.71,36.19,2920900
Alvarion Ltd,ALVR,20130219,0.5,0.51,0.47,0.51,258500
Alexza Pharmaceuticals,ALXA,20130219,4.66,4.75,4.61,4.67,212500
Alexion Pharmaceuticals,ALXN,20130219,82.77,85.47,81.82,83.39,3996700
Amag Pharmaceuticals,AMAG,20130219,16.91,17.02,16.8,16.83,57200
Autonavi Holdings,AMAP,20130219,11.4,11.46,11.31,11.32,54200
Applied Materials,AMAT,20130219,13.71,13.95,13.67,13.89,10944000
Ambarella Inc.,AMBA,20130219,9.85,10.18,9.71,9.87,46200
Ambient Corp,AMBT,20130219,2.76,3.01,2.76,2.84,11000
Applied Micro Circuits Corp.,AMCC,20130219,8.49,8.91,8.49,8.89,680900
Andatee China Marine Fuel Services,AMCF,20130219,0.81,0.87,0.75,0.83,196500
Airmedia Group Inc,AMCN,20130219,2.31,2.31,2.21,2.26,3300
Amc Networks Inc.,AMCX,20130219,59.6,59.66,58.4,58.99,600100
Amedisys Inc,AMED,20130219,13.01,13.36,12.88,13.11,282500
Amgen Inc.,AMGN,20130219,83.51,84.27,82.92,84.13,5944200
American Independence,AMIC,20130219,4.81,4.81,4.81,4.81,500
Amkor Technology,AMKR,20130219,4.87,4.91,4.77,4.8,426800
American National Bankshares,AMNB,20130219,20.25,20.64,20.2,20.49,10900
