<name>,<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
Asset Acceptance Capital,AACC,20130207,5.35,5.36,5.35,5.36,2600
AC Asia Information Tech MSCI Ishares,AAIT,20130207,27.31,27.31,27.29,27.29,300
Atlantic American Corp.,AAME,20130207,3.4,3.42,3.4,3.41,3500
Aaon,AAON,20130207,23.7,23.97,23.36,23.61,59200
Apple Inc.,AAPL,20130207,463.25,470,454.12,468.22,25163500
Atlas Air Worldwide Holdings,AAWW,20130207,44.3,44.67,44.06,44.32,126700
All Country Asia Ex Jpn Idx MSCI Ishares,AAXJ,20130207,59.92,59.92,59.31,59.43,1441500
Abaxis,ABAX,20130207,43.82,43.93,42.75,43.75,119300
Ameris Bancorp,ABCB,20130207,13.49,13.63,13.38,13.51,17800
Cambium Learning Group,ABCD,20130207,1.26,1.26,1.26,1.26,100
The Advisory Board Company,ABCO,20130207,51.32,52.98,48.76,49.73,1197300
Arkansas Best Corp.,ABFS,20130207,10.92,11.18,10.75,10.93,333200
Arca Biopharma,ABIO,20130207,0.78,0.79,0.65,0.68,1726800
Abiomed,ABMD,20130207,13.66,14.15,13.66,13.79,693900
Autobytel Inc.,ABTL,20130207,4.25,4.4,4.05,4.23,25100
Acadia Pharmaceuticals Inc.,ACAD,20130207,6.15,6.15,5.87,5.99,1208800
American Capital,ACAS,20130207,13.19,13.2,12.98,13.08,2267300
Arctic Cat Inc.,ACAT,20130207,36.1,36.37,35.67,36.27,186300
Accelrys,ACCL,20130207,9.42,9.48,9.23,9.45,139500
Aceto Corp.,ACET,20130207,9.9,10.03,9.75,9.99,68800
Atlantic Coast Federal Corp.,ACFC,20130207,3.13,3.25,3.08,3.22,6800
Acorn Energy,ACFN,20130207,7.22,7.27,6.98,7.13,63600
Arch Capital Group Ltd,ACGL,20130207,47.43,47.59,47.28,47.51,703000
Acadia Healthcare Company Inc.,ACHC,20130207,25.57,26.3,25.44,26.09,153500
Achillion Pharmaceuticals,ACHN,20130207,9.44,9.44,9.12,9.2,525400
Aci Worldwide,ACIW,20130207,47.91,47.91,47.31,47.84,67500
Axcelis Technologies,ACLS,20130207,1.36,1.38,1.3,1.31,255600
Acnb Corp.,ACNB,20130207,16.9,17.02,16.75,16.78,4500
Acorda Therapeutics,ACOR,20130207,29.4,29.61,28.72,29,170200
Active Power,ACPW,20130207,4.5,4.96,4.43,4.87,192500
Acelrx Pharmaceuticals,ACRX,20130207,5.25,5.51,4.9,5.04,232800
Acasti Pharma Inc,ACST,20130207,2.51,2.51,2.5,2.5,4600
Acacia Research Corp.,ACTG,20130207,27.53,27.88,27.13,27.61,395500
Actions Semiconductor Co.,ACTS,20130207,2.04,2.1,2.04,2.09,56000
Acura Pharmaceuticals,ACUR,20130207,2.44,2.56,2.12,2.24,870300
ACWI Index MSCI Ishares,ACWI,20130207,49.96,49.96,49.43,49.79,1949100
ACWI Ex-US Index MSCI Ishares,ACWX,20130207,42.93,42.93,42.44,42.67,398000
Acxiom Corp.,ACXM,20130207,17.96,18,17.45,17.49,380400
Authentidate Holding,ADAT,20130207,0.74,0.74,0.67,0.68,15300
Adobe Systems Incorporated,ADBE,20130207,38.39,38.39,37.66,38.07,3110200
Adept Technology,ADEP,20130207,3.31,3.5,3.15,3.32,136500
Ada-Es,ADES,20130207,23.44,23.86,23.05,23.38,59800
Analog Devices,ADI,20130207,44.62,44.67,44.06,44.39,1817500
Audience Inc.,ADNC,20130207,14.94,14.94,14.46,14.74,107200
Automatic Data Processing,ADP,20130207,60.4,60.74,59.83,60.5,2097800
Asia 50 ADR Index Bldrs,ADRA,20130207,27.43,27.43,27,27.14,1400
Dev Mkts 100 ADR Index Bldrs,ADRD,20130207,21.88,21.88,21.63,21.68,3700
Emrg Mkts 50 ADR Index Bldrs,ADRE,20130207,40.35,40.35,39.93,40.02,75500
Europe 100 ADR Index Bldrs,ADRU,20130207,21.62,21.62,21.35,21.38,1000
Autodesk,ADSK,20130207,38.61,38.76,38.1,38.65,2514200
Adtran,ADTN,20130207,20.94,21.11,20.81,20.89,545600
Addus Homecare Corp.,ADUS,20130207,7.75,8.05,7.12,7.96,299400
Advent Software,ADVS,20130207,25.98,26.09,25.67,25.98,135000
Aegoin Corp,AEGN,20130207,23.24,23.41,22.89,23.3,212600
Aegerion Pharmaceuticals,AEGR,20130207,27.29,27.82,26.58,26.6,225000
Aehr Test Systems,AEHR,20130207,0.89,0.98,0.89,0.98,1000
Advanced Energy Industries,AEIS,20130207,16.46,16.61,16.15,16.4,495300
Aep Industries Inc.,AEPI,20130207,64.94,65.35,63.95,64.2,9400
Asia Entertainment & Resources Ltd,AERL,20130207,4.18,4.28,4.12,4.23,178900
American Electric Technologies,AETI,20130207,5.01,5.05,4.97,4.99,4900
Addvantage Technologies Group,AEY,20130207,2.06,2.13,2.06,2.12,9500
Aeterna Zentaris,AEZS,20130207,2.83,3.1,2.81,3.04,1930900
Almost Family Inc,AFAM,20130207,19.96,19.96,19.55,19.82,44200
Athens Bancshares Corp.,AFCB,20130207,18,18.35,18,18,60500
Afc Enterprises,AFCE,20130207,30.16,30.24,29.98,30.05,204600
Affymetrix,AFFX,20130207,3.8,3.84,3.71,3.77,556300
Affymax,AFFY,20130207,17.63,18.01,17.57,17.69,709500
Alliance Fiber Optic Products,AFOP,20130207,12.35,12.73,12.32,12.7,47300
Amtrust Financial Services,AFSI,20130207,34.6,34.81,34.26,34.63,243800
Agenus Inc.,AGEN,20130207,4.9,4.93,4.76,4.88,99500
Argo Group International Holdings Ltd,AGII,20130207,37.5,38.51,37.5,38.41,75100
Argo Group International Holdin,AGIIL,20130207,24.84,25,24.79,25,30600
American Capital Agency,AGNC,20130207,31.4,31.4,30.85,31.2,5517200
American Capital,AGNCP,20130207,25.87,26.12,25.87,26.11,33500
