<name>,<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
Asset Acceptance Capital,AACC,20130130,5.36,5.44,5.26,5.28,15500
AC Asia Information Tech MSCI Ishares,AAIT,20130130,28.2,28.2,27.57,27.83,5000
Atlantic American Corp.,AAME,20130130,3.35,3.35,3.29,3.32,4500
Aaon,AAON,20130130,22.69,22.75,22.45,22.56,42500
Apple Inc.,AAPL,20130130,457,462.6,454.5,456.83,14898300
Atlas Air Worldwide Holdings,AAWW,20130130,46.36,46.6,45.17,45.42,179000
All Country Asia Ex Jpn Idx MSCI Ishares,AAXJ,20130130,60.61,60.77,60.51,60.63,573100
Abaxis,ABAX,20130130,39.61,39.77,38.26,38.32,139300
Ameris Bancorp,ABCB,20130130,13.32,13.32,13.09,13.14,60000
Cambium Learning Group,ABCD,20130130,1.25,1.38,1.25,1.32,11100
The Advisory Board Company,ABCO,20130130,54.55,54.9,53.73,54.17,137400
Arkansas Best Corp.,ABFS,20130130,9.75,10.88,9.5,10.83,1763700
Arca Biopharma,ABIO,20130130,0.57,0.69,0.47,0.68,4476300
Abiomed,ABMD,20130130,13.72,13.83,13.41,13.44,733500
Autobytel Inc.,ABTL,20130130,4.01,4.08,4,4.03,10500
Acadia Pharmaceuticals Inc.,ACAD,20130130,6.28,6.38,6.08,6.15,3122500
American Capital,ACAS,20130130,13.01,13.06,12.9,12.98,2355100
Arctic Cat Inc.,ACAT,20130130,36.53,36.65,35.42,35.67,139600
Accelrys,ACCL,20130130,9.31,9.44,9.19,9.21,207800
Aceto Corp.,ACET,20130130,10.47,10.55,10.27,10.3,41000
Atlantic Coast Federal Corp.,ACFC,20130130,3.5,3.5,3.5,3.5,0
Acorn Energy,ACFN,20130130,7.57,7.63,7.47,7.57,66000
Arch Capital Group Ltd,ACGL,20130130,45.64,45.84,45.28,45.77,421900
Acadia Healthcare Company Inc.,ACHC,20130130,25.59,25.75,25.18,25.62,166200
Achillion Pharmaceuticals,ACHN,20130130,9.22,9.25,9,9.07,426900
Aci Worldwide,ACIW,20130130,47.33,47.66,46.85,47.01,152700
Axcelis Technologies,ACLS,20130130,1.39,1.4,1.34,1.35,255000
Acnb Corp.,ACNB,20130130,16.18,16.29,16.02,16.05,5300
Acorda Therapeutics,ACOR,20130130,29.58,29.58,28.49,28.82,512500
Active Power,ACPW,20130130,4.03,4.19,4.03,4.09,53300
Acelrx Pharmaceuticals,ACRX,20130130,5.59,5.63,5.02,5.12,345500
Acasti Pharma Inc,ACST,20130130,2.5,2.6,2.5,2.6,5500
Acacia Research Corp.,ACTG,20130130,25.43,25.44,24.52,24.77,712300
Actions Semiconductor Co.,ACTS,20130130,2,2,1.85,1.98,121000
Acura Pharmaceuticals,ACUR,20130130,1.94,1.94,1.86,1.9,86700
ACWI Index MSCI Ishares,ACWI,20130130,50.18,50.23,50,50.04,1856700
ACWI Ex-US Index MSCI Ishares,ACWX,20130130,43.27,43.41,43.24,43.28,160900
Acxiom Corp.,ACXM,20130130,18.88,18.92,18.56,18.68,255100
