<name>,<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
Asset Acceptance Capital,AACC,20130221,5.35,5.43,5.07,5.29,17500
AC Asia Information Tech MSCI Ishares,AAIT,20130221,27.74,28.24,27.68,27.7,1400
Atlantic American Corp.,AAME,20130221,3.42,3.42,3.03,3.2,4900
Aaon,AAON,20130221,23.72,24.02,23.72,23.9,69900
Apple Inc.,AAPL,20130221,446,449.17,442.82,446.06,15970700
Atlas Air Worldwide Holdings,AAWW,20130221,46.49,46.71,45.28,45.52,298300
All Country Asia Ex Jpn Idx MSCI Ishares,AAXJ,20130221,59.86,59.99,59.51,59.79,814500
Abaxis,ABAX,20130221,42.53,42.86,42.03,42.69,138500
Ameris Bancorp,ABCB,20130221,13.81,14.2,13.81,13.95,29700
Cambium Learning Group,ABCD,20130221,1.24,1.25,1.2,1.2,17400
The Advisory Board Company,ABCO,20130221,49.85,50.4,49.83,49.9,136600
Arkansas Best Corp.,ABFS,20130221,11.3,11.53,10.83,10.97,240300
Arca Biopharma,ABIO,20130221,0.52,0.56,0.5,0.54,608000
Abiomed,ABMD,20130221,14.51,15,13.96,14.34,709500
Autobytel Inc.,ABTL,20130221,4.22,4.36,4.18,4.31,2700
Acadia Pharmaceuticals Inc.,ACAD,20130221,6.08,6.09,5.85,6.03,1087600
American Capital,ACAS,20130221,14.06,14.09,13.6,13.82,5536300
Arctic Cat Inc.,ACAT,20130221,36.34,36.51,35.72,36.17,249000
Accelrys,ACCL,20130221,9.8,9.9,9.59,9.59,180600
Aceto Corp.,ACET,20130221,10.44,10.53,10.26,10.42,210900
Atlantic Coast Federal Corp.,ACFC,20130221,3.52,3.54,3.4,3.54,5000
Acorn Energy,ACFN,20130221,7.29,7.29,6.99,7,81400
Arch Capital Group Ltd,ACGL,20130221,47.88,48.09,47.77,47.86,578000
Acadia Healthcare Company Inc.,ACHC,20130221,25.74,26.68,25.28,26.27,542200
Achillion Pharmaceuticals,ACHN,20130221,9.39,9.39,8.43,8.5,2208500
Aci Worldwide,ACIW,20130221,47.62,47.77,46.26,46.39,190600
Axcelis Technologies,ACLS,20130221,1.21,1.22,1.17,1.21,216800
Acnb Corp.,ACNB,20130221,16.6,16.63,16.5,16.62,4800
Acorda Therapeutics,ACOR,20130221,30.66,30.99,29.63,30.02,289400
Active Power,ACPW,20130221,4.75,4.94,4.61,4.68,67000
Acelrx Pharmaceuticals,ACRX,20130221,5.48,5.48,5.1,5.39,349000
Acasti Pharma Inc,ACST,20130221,2.25,2.4,2.23,2.3,69100
Acacia Research Corp.,ACTG,20130221,28,28.78,27.43,28.78,417300
Actions Semiconductor Co.,ACTS,20130221,2.2,2.2,2.05,2.13,46500
Acura Pharmaceuticals,ACUR,20130221,2.05,2.1,2.04,2.06,43800
ACWI Index MSCI Ishares,ACWI,20130221,49.62,49.62,49.28,49.48,679300
ACWI Ex-US Index MSCI Ishares,ACWX,20130221,42.44,42.44,42.06,42.23,433600
Acxiom Corp.,ACXM,20130221,17.94,17.98,17.69,17.95,539500
Authentidate Holding,ADAT,20130221,0.71,0.75,0.64,0.75,44800
Adobe Systems Incorporated,ADBE,20130221,38.82,38.82,38.3,38.34,2872600
Adept Technology,ADEP,20130221,3.45,3.57,3.23,3.37,23800
Ada-Es,ADES,20130221,25.01,25.82,25.01,25.2,57400
Analog Devices,ADI,20130221,45.7,45.77,44.83,45.12,2923000
Audience Inc.,ADNC,20130221,13.53,13.7,13.32,13.48,134600
Automatic Data Processing,ADP,20130221,61.13,61.16,60.07,60.27,2305100
Asia 50 ADR Index Bldrs,ADRA,20130221,27.05,27.05,26.65,26.69,1700
Dev Mkts 100 ADR Index Bldrs,ADRD,20130221,21.5,21.5,21.3,21.4,9600
Emrg Mkts 50 ADR Index Bldrs,ADRE,20130221,39.52,39.52,39.03,39.18,32800
Europe 100 ADR Index Bldrs,ADRU,20130221,20.99,21.05,20.92,20.95,7500
Autodesk,ADSK,20130221,38.58,38.62,37.91,37.97,2851500
Adtran,ADTN,20130221,23.39,23.4,22.88,23.01,1086700
Addus Homecare Corp.,ADUS,20130221,9.15,9.43,8.81,9.3,94800
Advent Software,ADVS,20130221,26.18,26.43,25.8,25.89,111100
Aegoin Corp,AEGN,20130221,23.34,23.64,22.83,23.26,220500
Aegerion Pharmaceuticals,AEGR,20130221,28.47,29.18,28.11,28.51,283900
Aehr Test Systems,AEHR,20130221,0.9,0.98,0.9,0.98,200
Advanced Energy Industries,AEIS,20130221,18,18.08,17.51,17.72,307900
Aep Industries Inc.,AEPI,20130221,62.91,64.29,62.91,64.09,41700
Asia Entertainment & Resources Ltd,AERL,20130221,3.69,3.69,3.36,3.49,160300
American Electric Technologies,AETI,20130221,4.85,5,4.78,4.99,4500
Addvantage Technologies Group,AEY,20130221,2.25,2.31,2.25,2.3,12900
Aeterna Zentaris,AEZS,20130221,2.61,2.64,2.5,2.54,415900
Almost Family Inc,AFAM,20130221,20.67,20.85,20.29,20.61,37300
Athens Bancshares Corp.,AFCB,20130221,18.17,18.17,18.17,18.17,300
Afc Enterprises,AFCE,20130221,31.01,31.29,30.99,31.26,189500
Affymetrix,AFFX,20130221,3.83,3.85,3.77,3.83,559800
Affymax,AFFY,20130221,16.33,16.57,15.81,16.07,740300
Atlas Financial Holdings Inc.,AFH,20130221,5.9,5.94,5.86,5.94,3100
Alliance Fiber Optic Products,AFOP,20130221,11.6,11.6,11.25,11.31,11900
Amtrust Financial Services,AFSI,20130221,33.69,33.85,33.15,33.44,113100
Agenus Inc.,AGEN,20130221,4.37,4.39,4.23,4.26,52200
Argo Group International Holdings Ltd,AGII,20130221,38.29,38.6,38.09,38.29,62400
Argo Group International Holdin,AGIIL,20130221,25,25.2,25,25.06,18700
American Capital Agency,AGNC,20130221,32.35,32.38,31.55,31.8,6266100
American Capital,AGNCP,20130221,26.22,26.25,26.03,26.19,20400
Agilysys,AGYS,20130221,9.55,9.6,9.4,9.43,30100
Alliance Holdings Gp L.P.,AHGP,20130221,51.85,51.85,50.66,50.96,22300
Allied Healthcare Products,AHPI,20130221,2.58,2.69,2.58,2.69,1800
Altra Holdings,AIMC,20130221,25.52,25.73,24.88,25.13,108900
Apollo Investment Corp.,AINV,20130221,8.4,8.4,8.22,8.23,1865100
Alliance Healthcare Services,AIQ,20130221,6.86,7.05,6.75,6.95,10200
Air Methods Corp.,AIRM,20130221,42.96,43.5,42.21,42.61,222200
Air T,AIRT,20130221,9.26,9.26,9.25,9.25,2200
Aixtron Se,AIXG,20130221,12.01,12.11,11.82,11.96,496300
Akamai Technologies,AKAM,20130221,37.53,37.53,36.47,37.07,2987500
Akorn,AKRX,20130221,13.02,13.03,12.73,12.88,483400
Alico,ALCO,20130221,43.27,43.97,43.27,43.55,7900
Alco Stores Inc,ALCS,20130221,8.43,8.43,8.38,8.38,200
Align Technology,ALGN,20130221,31.06,31.42,30.95,31.41,1041900
Allegiant Travel Company,ALGT,20130221,79.56,80.14,78.2,79.58,101200
Alimera Sciences,ALIM,20130221,2.64,3.28,2.63,3.27,172400
Alkermes,ALKS,20130221,21.56,21.79,20.49,20.68,1926100
Alliance Bank,ALLB,20130221,12.83,13,12.83,13,500
Allot Communications Ltd,ALLT,20130221,15.15,15.2,14.31,14.68,762900
Alliance Financial Corp.,ALNC,20130221,45.16,45.63,45.04,45.08,4500
Alnylam Pharmaceuticals,ALNY,20130221,23.91,24.64,22.76,23.42,691800
Analogic Corp.,ALOG,20130221,74.65,74.65,72.23,73.39,96600
