<name>,<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
Amkor Technology,AMKR,20130222,4.43,4.46,4.28,4.39,388700
American National Bankshares,AMNB,20130222,20.18,20.79,20.04,20.79,15600
Allied Motion Technologies,AMOT,20130222,7,7,6.95,7,10200
America Movil S.A.B. De C.V.,AMOV,20130222,22.11,22.51,21.97,22.03,8600
Ampio Pharmaceutical,AMPE,20130222,3.86,3.88,3.77,3.84,77100
American River Bankshares,AMRB,20130222,7.26,7.34,7.26,7.31,2400
Albany Molecular Research,AMRI,20130222,8.21,8.34,7.98,8.06,465500
Amarin Corporation Plc,AMRN,20130222,8.17,8.29,8.05,8.24,1956200
Amyris,AMRS,20130222,3.2,3.27,3.05,3.16,249900
American Superconductor Corp.,AMSC,20130222,3.11,3.2,3.09,3.19,306400
Amerisafe,AMSF,20130222,29.3,29.45,28.91,29.4,52200
Amsurg,AMSG,20130222,32.11,32.23,31.5,31.85,99300
American Software,AMSWA,20130222,8.57,8.69,8.55,8.67,22600
American Woodmark Corp.,AMWD,20130222,32.79,33.1,31.81,32.43,141400
Amazon.Com,AMZN,20130222,266.62,267.11,261.61,265.42,3125200
Anacor Pharmaceuticals,ANAC,20130222,3.3,3.31,3.18,3.27,98300
Anadigics,ANAD,20130222,2.2,2.3,2.16,2.29,575700
American National Insurance,ANAT,20130222,81.85,82.95,80.76,82.19,18700
Anchor Bancorp,ANCB,20130222,14.75,14.75,14.75,14.75,200
American Caresource Holdings,ANCI,20130222,1.91,1.92,1.66,1.87,2400
Access National Corp.,ANCX,20130222,15.73,15.84,15.32,15.68,25500
Andina Acquisition Corporation,ANDAU,20130222,10.15,10.15,10.15,10.15,200
The Andersons,ANDE,20130222,49,49.39,47.75,48.47,82200
Anaren,ANEN,20130222,19.37,19.65,19.1,19.39,37100
Angie's List Inc.,ANGI,20130222,17.03,17.23,16.45,16.63,796900
Angiodynamics,ANGO,20130222,12.21,12.34,12.09,12.33,45000
Anika Therapeutics Inc.,ANIK,20130222,10.64,10.78,10.5,10.7,50900
Analysts International Corp.,ANLY,20130222,3.55,3.65,3.55,3.6,61900
Annapolis Bancorp Inc.,ANNB,20130222,13.23,13.26,13.09,13.16,5800
Ansys,ANSS,20130222,75.9,76.38,75.31,76.38,210600
Anthera Pharmaceuticals,ANTH,20130222,0.65,0.67,0.64,0.66,757000
Phazar Corp,ANTP,20130222,1.3,1.45,1.3,1.42,26200
Alpha And Omega Semiconductor,AOSL,20130222,8.23,8.26,8.14,8.26,65500
Apco Oil And Gas International,APAGF,20130222,12.81,13.16,12.78,13.11,17900
American Public Education,APEI,20130222,40.72,41.37,39.92,41.2,164700
American Pacific Corp.,APFC,20130222,21.35,22.68,21.35,22.46,130100
Acme Packet,APKT,20130222,29.19,29.25,29.15,29.21,3610100
Apogee Enterprises,APOG,20130222,24.9,25.3,24.9,25.09,113200
Apollo Group,APOL,20130222,18.61,18.75,18.37,18.58,1675600
Aspenbio Pharma,APPY,20130222,2.13,2.2,2.1,2.14,97900
Apricus Biosciences Inc,APRI,20130222,2.56,2.73,2.55,2.6,167100
Asia Pac Wire &Cable,APWC,20130222,4.01,4.08,4,4,16800
Accuray Incorporated,ARAY,20130222,4.39,4.46,4.35,4.38,814700
Ares Capital Corp.,ARCC,20130222,18.14,18.31,18.12,18.3,1682400
Appliance Recycling Centers,ARCI,20130222,1.34,1.37,1.32,1.35,24700
American Realty Capital Propert,ARCP,20130222,14.25,14.8,14.05,14.5,113100
Arc Wireless Solutions,ARCW,20130222,5.52,5.52,5.52,5.52,100
Arden Group,ARDNA,20130222,91.37,92.6,91.3,92.6,1500
Approach Resources Inc.,AREX,20130222,23.81,25.05,23.65,24.78,1791600
Ariad Pharmaceuticals,ARIA,20130222,20.98,21.24,20.87,21.21,1752200
American Railcar Industries,ARII,20130222,41.46,43.31,41,43.28,333300
Ark Restaurants,ARKR,20130222,20.25,21.75,20.25,21.42,28700
Alliance Resource Partners L.P.,ARLP,20130222,61,62.28,60.37,61.52,75300
Arm Holdings Plc,ARMH,20130222,42.44,42.8,42.2,42.7,1365900
Arena Pharmaceuticals,ARNA,20130222,8.19,8.39,8.12,8.38,3776400
Arrow Financial Corp.,AROW,20130222,24.98,25,24.7,24.98,34800
Arqule,ARQL,20130222,2.46,2.48,2.35,2.38,394400
Arris Group Inc,ARRS,20130222,17.03,17.14,16.94,17.13,831600
Array Biopharma Inc.,ARRY,20130222,3.98,4.07,3.95,4.07,637300
Arthrocare Corp.,ARTC,20130222,35.99,36.2,35.52,35.86,130700
Artesian Resources Corp.,ARTNA,20130222,22.4,22.59,22.34,22.5,15000
Art'S-Way Manufacturing Co.,ARTW,20130222,6.75,6.87,6.75,6.75,1100
Arotech Corp.,ARTX,20130222,1.12,1.13,1.12,1.13,2200
Aruba Networks,ARUN,20130222,24.23,26.78,24.23,25.4,20577900
Arrowhead Research Corp.,ARWR,20130222,2.07,2.23,2.04,2.1,154700
Asb Bancorp Inc.,ASBB,20130222,16.5,16.5,16.5,16.5,1600
Associated Banc-Corp,ASBC,20130222,14.39,14.55,14.34,14.54,897200
Ameriana Bancorp,ASBI,20130222,8.55,8.57,8.55,8.55,300
Ameristar Casinos,ASCA,20130222,26.37,26.37,26.27,26.3,393800
Ascent Media Corp.,ASCMA,20130222,68.21,69.45,67.85,68.89,31500
American Science And Engineering,ASEI,20130222,63.58,64.44,63.11,63.59,26600
Asta Funding,ASFI,20130222,9.56,9.65,9.56,9.64,6900
Asiainfo-Linkage,ASIA,20130222,10.97,11.06,10.88,11.03,64500
Asm International N.V.,ASMI,20130222,39.03,39.28,38.93,39.28,21900
Asml Holding N.V.,ASML,20130222,70.84,71.83,70.5,71.65,1217700
Ascena Retail Group,ASNA,20130222,17.13,17.25,16.89,17.11,1972000
Altisource Portfolio Solutions S.A.,ASPS,20130222,80.44,81,78.02,78.59,362100
Ameriserv Financial Inc.,ASRV,20130222,2.95,3.09,2.95,3.05,6600
Astrotech Corp.,ASTC,20130222,0.85,0.89,0.85,0.86,13200
Astec Industries,ASTE,20130222,35.06,35.27,34.73,35.15,93700
Ascent Solar Technologies,ASTI,20130222,0.7,0.71,0.69,0.7,91200
Aastrom Biosciences,ASTM,20130222,1.18,1.26,1.17,1.2,521400
Astex Pharmaceuticals Inc,ASTX,20130222,3.1,3.16,3.06,3.1,604200
Asure Software Inc,ASUR,20130222,6.6,7.07,6.56,6.65,55800
Amtech Systems,ASYS,20130222,4.22,4.28,4.15,4.18,47300
Ata Inc.,ATAI,20130222,4.08,4.15,4.03,4.03,7800
America First Tax Exempt L.P.,ATAX,20130222,7.16,7.17,7.1,7.1,82300
Astea International,ATEA,20130222,2.71,2.71,2.71,2.71,100
Alphatec Holdings,ATEC,20130222,1.74,1.75,1.7,1.72,62900
Athenahealth,ATHN,20130222,88.89,90.15,88.36,89.64,316300
