<name>,<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
Asset Acceptance Capital,AACC,20130215,5.7,5.73,5.51,5.61,20900
AC Asia Information Tech MSCI Ishares,AAIT,20130215,27.69,27.7,27.69,27.7,200
Atlantic American Corp.,AAME,20130215,3.25,3.27,3.18,3.25,1300
Aaon,AAON,20130215,24.02,24.02,23.73,23.8,72100
Apple Inc.,AAPL,20130215,468.85,470.16,459.92,460.16,13997300
Atlas Air Worldwide Holdings,AAWW,20130215,46.9,47.15,46.7,46.94,264100
All Country Asia Ex Jpn Idx MSCI Ishares,AAXJ,20130215,60.91,60.91,60.54,60.63,391900
Abaxis,ABAX,20130215,43.65,43.67,43.07,43.16,189100
Ameris Bancorp,ABCB,20130215,13.61,13.99,13.6,13.96,61400
Cambium Learning Group,ABCD,20130215,1.35,1.35,1.27,1.34,5900
The Advisory Board Company,ABCO,20130215,50.31,50.31,49.9,50.1,137500
Arkansas Best Corp.,ABFS,20130215,11.61,11.75,11.29,11.66,361000
Arca Biopharma,ABIO,20130215,0.55,0.59,0.5,0.51,783400
Abiomed,ABMD,20130215,14.65,14.98,14.45,14.66,360300
Autobytel Inc.,ABTL,20130215,4.39,4.65,4.09,4.13,62600
Acadia Pharmaceuticals Inc.,ACAD,20130215,6.25,6.27,5.99,6.09,1016000
American Capital,ACAS,20130215,13.8,13.89,13.78,13.86,3341000
Arctic Cat Inc.,ACAT,20130215,36.35,36.58,35.53,35.57,192100
Accelrys,ACCL,20130215,9.74,9.77,9.65,9.74,278600
Aceto Corp.,ACET,20130215,10.42,10.42,10.31,10.36,102800
Atlantic Coast Federal Corp.,ACFC,20130215,3.32,3.5,3.32,3.5,4400
Acorn Energy,ACFN,20130215,7.91,7.91,7.42,7.51,35400
Arch Capital Group Ltd,ACGL,20130215,47.54,47.9,47.51,47.56,549900
Acadia Healthcare Company Inc.,ACHC,20130215,26.7,26.77,25.63,25.94,195200
Achillion Pharmaceuticals,ACHN,20130215,10.01,10.05,9.7,9.78,692500
Aci Worldwide,ACIW,20130215,47.54,47.78,47.07,47.27,197900
Axcelis Technologies,ACLS,20130215,1.3,1.3,1.25,1.28,325900
Acnb Corp.,ACNB,20130215,16.5,17,16.5,17,1500
Acorda Therapeutics,ACOR,20130215,29.74,29.88,29.21,29.76,389700
Active Power,ACPW,20130215,4.75,4.8,4.67,4.8,27700
Acelrx Pharmaceuticals,ACRX,20130215,5.6,5.65,5.4,5.43,125100
Acasti Pharma Inc,ACST,20130215,2.58,2.6,2.49,2.52,22700
Acacia Research Corp.,ACTG,20130215,29.08,29.61,28.94,29.43,831300
Actions Semiconductor Co.,ACTS,20130215,2.17,2.25,2.17,2.24,61400
Acura Pharmaceuticals,ACUR,20130215,2.14,2.14,1.99,2.07,96700
ACWI Index MSCI Ishares,ACWI,20130215,50.23,50.26,49.94,50.1,856700
ACWI Ex-US Index MSCI Ishares,ACWX,20130215,43.01,43.02,42.72,42.86,130900
Acxiom Corp.,ACXM,20130215,17.8,18,17.69,17.92,352000
Authentidate Holding,ADAT,20130215,0.64,0.79,0.63,0.7,152100
Adobe Systems Incorporated,ADBE,20130215,38.51,38.76,38.38,38.63,2367800
Adept Technology,ADEP,20130215,3.63,3.68,3.38,3.48,24500
Ada-Es,ADES,20130215,25.14,25.23,24.85,25.05,57500
Analog Devices,ADI,20130215,46.39,46.63,45.86,46.17,3187300
Audience Inc.,ADNC,20130215,14.4,14.4,14.17,14.28,69400
Automatic Data Processing,ADP,20130215,61.26,61.26,60.75,61.22,2192700
Asia 50 ADR Index Bldrs,ADRA,20130215,27.18,27.18,27.05,27.14,1700
Dev Mkts 100 ADR Index Bldrs,ADRD,20130215,21.84,21.85,21.84,21.85,2100
Emrg Mkts 50 ADR Index Bldrs,ADRE,20130215,40.06,40.14,40,40.05,10200
Europe 100 ADR Index Bldrs,ADRU,20130215,21.48,21.49,21.39,21.39,2600
Autodesk,ADSK,20130215,38.62,39.51,38.59,39,2910900
Adtran,ADTN,20130215,23.15,23.34,22.98,23.09,1068900
Addus Homecare Corp.,ADUS,20130215,9.6,9.9,9.52,9.64,142200
Advent Software,ADVS,20130215,26.21,26.45,26.16,26.26,106400
Aegoin Corp,AEGN,20130215,23.97,24.15,23.59,23.93,257900
Aegerion Pharmaceuticals,AEGR,20130215,29.02,29.81,28.58,29.13,611700
Aehr Test Systems,AEHR,20130215,0.9,0.91,0.88,0.88,4100
Advanced Energy Industries,AEIS,20130215,17.9,18,17.83,17.95,489600
Aep Industries Inc.,AEPI,20130215,64.86,64.86,63.97,64.8,10400
Asia Entertainment & Resources Ltd,AERL,20130215,3.88,4.03,3.83,3.9,210600
American Electric Technologies,AETI,20130215,4.86,4.96,4.86,4.86,2200
Addvantage Technologies Group,AEY,20130215,2.27,2.27,2.21,2.21,13200
Aeterna Zentaris,AEZS,20130215,2.74,2.74,2.6,2.65,534300
Almost Family Inc,AFAM,20130215,20.79,20.86,20.6,20.82,60400
Athens Bancshares Corp.,AFCB,20130215,18.21,18.21,18.21,18.21,0
Afc Enterprises,AFCE,20130215,31.26,31.35,30.7,30.85,205900
Affymetrix,AFFX,20130215,3.87,3.87,3.78,3.85,603600
Affymax,AFFY,20130215,15.97,16.76,15.72,16.63,1608500
Atlas Financial Holdings Inc.,AFH,20130215,5.89,5.92,5.85,5.85,48000
Alliance Fiber Optic Products,AFOP,20130215,12.02,12.13,11.38,11.45,25900
Amtrust Financial Services,AFSI,20130215,33.28,33.81,32.76,33.03,572600
Agenus Inc.,AGEN,20130215,4.41,4.41,4.33,4.36,79800
Argo Group International Holdings Ltd,AGII,20130215,38.8,38.8,38.25,38.52,90700
Argo Group International Holdin,AGIIL,20130215,25.05,25.1,24.98,25.05,7800
American Capital Agency,AGNC,20130215,32.49,32.64,32.34,32.51,2919000
American Capital,AGNCP,20130215,26.23,26.27,26.2,26.22,18400
Agilysys,AGYS,20130215,9.55,9.67,9.45,9.65,27400
Alliance Holdings Gp L.P.,AHGP,20130215,51.69,52.36,51.53,51.68,18300
Allied Healthcare Products,AHPI,20130215,2.48,2.6,2.48,2.6,1700
Altra Holdings,AIMC,20130215,25.4,26.8,25.27,26.51,255400
Apollo Investment Corp.,AINV,20130215,8.59,8.61,8.47,8.54,2145000
Alliance Healthcare Services,AIQ,20130215,7,7.09,6.69,6.96,4500
Air Methods Corp.,AIRM,20130215,43.44,44.11,42.91,43.26,255000
Air T,AIRT,20130215,9.29,9.55,9.29,9.53,5900
Aixtron Se,AIXG,20130215,12.81,12.87,12.72,12.81,337700
Akamai Technologies,AKAM,20130215,37.83,39,37.83,38.49,6736800
Akorn,AKRX,20130215,12.99,13.06,12.78,12.82,340500
Alico,ALCO,20130215,40.6,42.34,40.28,42.29,10800
Alco Stores Inc,ALCS,20130215,7.65,8.05,7.65,7.86,7300
Align Technology,ALGN,20130215,32.84,32.84,32.45,32.73,728000
Allegiant Travel Company,ALGT,20130215,79.67,81,79.21,80.44,110300
Alimera Sciences,ALIM,20130215,2.36,2.48,2.36,2.44,32400
Alkermes,ALKS,20130215,21.63,21.63,21.16,21.19,650100
Alliance Bank,ALLB,20130215,12.76,12.76,12.76,12.76,0
Allot Communications Ltd,ALLT,20130215,14.39,14.58,14.34,14.41,510800
Alliance Financial Corp.,ALNC,20130215,45.22,45.61,44.81,45.19,7900
Alnylam Pharmaceuticals,ALNY,20130215,24.21,24.32,23.94,24.09,420200
Analogic Corp.,ALOG,20130215,75.33,75.55,74.38,74.49,75100
Astro-Med,ALOT,20130215,10.2,10.34,10.2,10.27,4400
American Learning Corp.,ALRN,20130215,0.4,0.41,0.38,0.41,18900
Alaska Communications Systems,ALSK,20130215,1.73,1.74,1.73,1.73,183700
Alterra Capital Holdings Ltd,ALTE,20130215,31.05,31.05,30.8,30.97,363000
Altair Nanotechnologies Inc.,ALTI,20130215,2.16,2.24,2.16,2.24,4700
Altera Corp.,ALTR,20130215,36.24,36.32,35.62,35.74,3611000
Alvarion Ltd,ALVR,20130215,0.51,0.52,0.51,0.51,128900
Alexza Pharmaceuticals,ALXA,20130215,4.6,4.78,4.55,4.61,204000
Alexion Pharmaceuticals,ALXN,20130215,87.93,88.47,85.53,86.01,3690700
Amag Pharmaceuticals,AMAG,20130215,16.89,16.91,16.71,16.91,126400
Autonavi Holdings,AMAP,20130215,11.37,11.63,11.3,11.4,89800
Applied Materials,AMAT,20130215,13.83,13.9,13.63,13.74,10918100
Ambarella Inc.,AMBA,20130215,9.43,9.82,9.12,9.8,191300
Ambient Corp,AMBT,20130215,2.77,3,2.69,2.98,17300
Applied Micro Circuits Corp.,AMCC,20130215,8.56,8.69,8.5,8.55,445800
Andatee China Marine Fuel Services,AMCF,20130215,0.89,0.89,0.78,0.86,78100
Airmedia Group Inc,AMCN,20130215,2.34,2.35,2.2,2.23,18700
Amc Networks Inc.,AMCX,20130215,59.4,60.05,59.28,59.68,536700
Amedisys Inc,AMED,20130215,12.97,13.19,12.82,12.92,525400
Amgen Inc.,AMGN,20130215,84.2,84.72,83.32,83.61,5622100
American Independence,AMIC,20130215,4.85,4.85,4.85,4.85,3200
Amkor Technology,AMKR,20130215,4.92,5.01,4.85,4.86,518700
American National Bankshares,AMNB,20130215,20.17,20.41,20.01,20.2,19400
Allied Motion Technologies,AMOT,20130215,7,7.1,6.9,7.1,8800
America Movil S.A.B. De C.V.,AMOV,20130215,21.69,22.52,21.53,22.4,15700
Ampio Pharmaceutical,AMPE,20130215,3.86,4.01,3.85,3.96,138800
